ID or #		Start	End
============================
gene6		9241	9339
gene11		14203	14318
gene18		21771	21863
gene32		30765	30841
gene71		64526	64597
gene92		87094	87209
gene124		120965	121273
gene127		122589	122879
gene132		125101	125535
gene133		125501	125725
gene134		125746	126009
gene135		126053	126421
gene136		126460	126771
gene137		126798	127337
gene142		128972	129472
gene143		129486	129668
gene149		133219	133332
gene150		133354	133719
gene158		139152	139589
gene171		150325	150399
gene172		150404	150476
gene173		150501	150575
gene174		150581	150656
gene175		150674	150757
gene176		150823	150897
gene177		150903	150978
gene178		150984	151055
gene179		151066	151138
gene309		278782	278857
gene310		278945	279019
gene311		279025	279097
gene312		279114	279199
gene313		279293	279369
gene314		279374	279450
gene315		279452	279522
gene318		284267	284382
gene319		284395	284471
gene320		284475	284550
gene322		284925	285003
gene323		285007	285082
gene345		305319	305434
gene358		318527	318642
gene359		319555	320259
gene360		320384	321253
gene370		330710	330808
gene377		339432	340151
gene378		340144	340398
gene379		340395	341078
gene649		603558	603986
gene654		609653	609763
gene655		609775	609849
gene656		609852	609943
gene657		609961	610035
gene658		610040	610115
gene659		610140	610216
gene660		610220	610295
gene661		610305	610380
gene662		610399	610474
gene663		610485	610568
gene664		610576	610649
gene665		610669	610744
gene666		610808	610882
gene667		610888	610962
gene668		610977	611047
gene881		824031	824123
gene882		824151	824227
gene883		824231	824306
gene884		824316	824391
gene885		824401	824473
gene889		824722	824793
gene2840		2599600	2600259
gene3327		3015552	3017408
gene3328		3017467	3018051
gene4685		4248301	4248374
gene4825		4375345	4375818
gene4826		4376035	4376973
gene4827		4376993	4378300
gene4828		4378446	4379561
gene4829		4379982	4380443
gene5017		4539812	4541011
gene5018		4541415	4541528
gene5019		4541531	4543117
gene5136		4648918	4648989
gene5137		4648996	4649086
gene5138		4649094	4649168
gene5139		4649176	4649252
gene5140		4649263	4649333
gene5141		4649347	4649422
gene5142		4649433	4649508
gene5143		4649523	4649598
gene5144		4649611	4649686
gene5145		4649688	4649764
gene5146		4649792	4649884
gene5147		4649902	4649978
gene5148		4649983	4650059
gene5149		4650080	4650152
gene5150		4650168	4650241
gene5151		4650252	4650325
gene5152		4650329	4650417
gene5153		4650434	4650508
gene5154		4650538	4650618
gene5155		4650641	4650716
gene5156		4650726	4650801
gene5157		4650806	4650881
gene5158		4650889	4650999
gene5161		4655827	4655940
gene5244		4723463	4724860
gene5245		4724909	4725340
gene5246		4725330	4726550
gene5359		4827983	4828450
gene5561		5020741	5021283
gene5562		5021280	5021786
gene5563		5021916	5022134
gene5566		5023310	5023564
gene5567		5023561	5023674
gene5568		5024054	5024683
gene5594		5043913	5044281
gene5746		5203885	5203956
gene5757		5211408	5211698
