All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     BC-M-Abyss    BC-M-Cabog    BC-M-Mira     BC-M-Msrca    BC-M-Sga       BC-M-Soap     BC-M-Spades   BC-M-Velvet  
# contigs (>= 0 bp)          9             10            14            5             20             12            5             30           
# contigs (>= 1000 bp)       9             10            10            5             20             12            5             27           
Total length (>= 0 bp)       213399        425241        354338        206562        196928         195061        206881        191631       
Total length (>= 1000 bp)    213399        425241        351520        206562        196928         195061        206881        189355       
# contigs                    9             10            14            5             20             12            5             30           
Total length                 213399        425241        354338        206562        196928         195061        206881        191631       
Largest contig               69698         225245        126165        84617         48739          46937         103456        24180        
Reference length             208369        208369        208369        208369        208369         208369        208369        208369       
GC (%)                       33.56         33.96         33.83         33.50         33.25          33.23         33.38         33.37        
Reference GC (%)             33.44         33.44         33.44         33.44         33.44          33.44         33.44         33.44        
N50                          39488         225245        74370         46705         19255          20113         103456        8148         
NG50                         39488         225245        126165        46705         19255          19586         46136         7949         
N75                          23179         26580         22654         33826         7263           13395         32207         5459         
NG75                         23179         225245        74370         33826         6188           12040         32207         4354         
L50                          2             1             2             2             4              3             1             7            
LG50                         2             1             1             2             4              4             2             8            
L75                          4             3             4             3             9              6             3             14           
LG75                         4             1             2             3             10             7             3             16           
# misassemblies              0             0             0             0             0              0             0             1            
Misassembled contigs length  0             0             0             0             0              0             0             6055         
# local misassemblies        2             0             3             0             0              1             2             2            
# unaligned contigs          0 + 0 part    0 + 1 part    0 + 2 part    0 + 0 part    0 + 0 part     0 + 0 part    0 + 0 part    0 + 0 part   
Unaligned contigs length     0             210501        145285        0             0              0             0             0            
Genome fraction (%)          99.427        99.930        98.999        98.043        94.126         93.516        99.303        92.019       
Duplication ratio            1.031         1.031         1.015         1.011         1.004          1.002         1.050         1.003        
# N's per 100 kbp            141.05        0.00          3.39          0.00          0.00           0.00          0.48          0.00         
# mismatches per 100 kbp     5.79          1.03          4.28          2.45          0.51           2.57          6.77          7.82         
# indels per 100 kbp         5.31          2.59          2.68          2.45          3.06           3.08          2.90          2.09         
# genes                      234 + 7 part  236 + 6 part  233 + 8 part  236 + 3 part  219 + 14 part  223 + 7 part  239 + 2 part  196 + 28 part
Largest alignment            69698         74529         74370         84617         48739          46937         103897        24180        
NA50                         39488         10219         9981          46705         19255          20113         103897        8148         
NGA50                        39488         22638         22654         46705         19255          19586         46136         7949         
NA75                         23521         -             -             33826         7263           13395         32207         4832         
NGA75                        23521         14100         12504         33826         6188           12040         32207         4246         
LA50                         2             10            8             2             4              3             1             7            
LGA50                        2             3             3             2             4              4             2             8            
LA75                         4             -             -             3             9              6             3             14           
LGA75                        4             6             6             3             10             7             3             17           
