>scaffold1 48 578015 48
2659       0          +   13646  5  100	#DOWN 2363:5:142 	#UP 2093:1:201 1939:55:117 
2363       13737      -   1985  34  100	#DOWN 2555:34:140 	#UP 2659:5:142 
2555       15811      -   7472  35  50	#DOWN 2491:35:144 1489:32:138 	#UP 2363:34:140 
2491       23376      +   4769  38  33	#DOWN 2753:38:124 	#UP 2555:35:144 1491:3:148 1489:16:130 
2753       28218      +   19940  20  50	#DOWN 2553:20:143 1401:10:141 	#UP 2491:38:124 
2553       48250      +   7416  31  16	#DOWN 2811:31:104 1229:2:113 	#UP 2753:20:143 1403:3:87 1401:10:143 
2811       55719      -   27505  8  100	#DOWN 2437:8:117 	#UP 2553:31:104 
2437       83290      -   3373  30  100	#DOWN 2581:30:130 	#UP 2811:8:117 
2581       86742      -   9246  13  100	#DOWN 2729:13:120 	#UP 2437:30:130 
2729       96057      +   18709  32  100	#DOWN 2709:32:120 	#UP 2581:13:120 
2709       114835     -   16352  11  25	#DOWN 2481:11:178 1035:11:186 847:8:147 815:1:178 	#UP 2729:32:120 
2481       131314     -   4495  26  3	#DOWN 2821:1:-9 2439:26:146 2393:1:124 1083:12:159 877:1:192 811:1:152 	#UP 2709:11:178 2503:1:120 1035:8:157 847:3:203 815:1:233 
2439       135904     +   3444  33  11	#DOWN 2607:33:123 2423:1:171 657:1:154 	#UP 2481:26:146 1083:8:186 877:4:149 
2607       139420     -   10640  26  50	#DOWN 2603:26:118 	#UP 2439:33:123 657:1:166 
2603       150127     -   10514  24  100	#DOWN 2679:14:146 1701:24:120 	#UP 2607:26:118 
1701       160710     +   119  35  50	#DOWN 2679:35:141 	#UP 2603:24:120 1372:4:198 
2679       160919     -   15158  17  100	#DOWN 2787:17:113 	#UP 2603:14:146 1701:35:141 
2787       176139     +   24180  16  20	#DOWN 2751:1:96 2711:16:139 1161:12:155 1079:9:164 563:2:129 	#UP 2679:17:113 
2711       200407     -   16721  38  22	#DOWN 2743:2:-19 2029:38:110 1061:14:159 	#UP 2787:16:139 1161:8:156 1079:14:170 
2029       217187     -   257  24  16	#DOWN 2743:24:153 1061:10:141 	#UP 2711:38:110 2049:1:2 1061:6:142 
2743       217546     -   19429  40  50	#DOWN 2541:40:137 	#UP 2711:2:-19 2029:24:153 2025:3:149 1061:11:158 
2541       237061     -   6831  38  100	#DOWN 2625:38:155 	#UP 2743:40:137 
2625       243996     +   11189  23  100	#DOWN 2545:23:108 	#UP 2541:38:155 
2545       255242     +   6895  38  50	#DOWN 2681:38:114 1207:2:91 	#UP 2625:23:108 
2681       262200     -   15160  27  33	#DOWN 2843:27:170 1260:1:131 1252:1:113 	#UP 2545:38:114 
2843       277479     +   36222  17  11	#DOWN 2863:17:161 1320:10:155 1242:1:134 	#UP 2681:27:170 1260:3:136 1252:2:150 
2863       313811     -   52082  56  33	#DOWN 2475:56:101 	#UP 2843:17:161 1320:15:139 1242:4:147 
2475       365943     -   4412  34  50	#DOWN 2387:34:115 	#UP 2863:56:101 1227:3:198 
2387       370419     +   2490  3  100	#DOWN 2279:3:21 	#UP 2475:34:115 
2279       372879     +   888  49  100	#DOWN 2845:49:140 	#UP 2387:3:21 
2845       373856     +   38626  35  25	#DOWN 2705:35:188 981:11:181 979:4:139 861:5:161 	#UP 2279:49:140 
2705       412619     +   16266  9  25	#DOWN 1823:9:105 1821:14:187 	#UP 2845:35:188 981:6:178 979:14:148 861:6:159 
1823       428939     +   140  24  33	#DOWN 1821:24:151 1727:1:225 1374:5:194 	#UP 2705:9:105 1133:1:201 
1821       429179     +   140  13  66	#DOWN 2635:1:41 1727:13:176 1374:6:174 	#UP 2705:14:187 1823:24:151 
1727       429444     -   122  15  66	#DOWN 2635:15:172 	#UP 1821:13:176 1823:1:225 1374:4:170 
2635       429687     -   11593  35  66	#DOWN 2427:35:138 	#UP 1821:1:41 1727:15:172 1374:19:120 
2427       441367     +   3268  50  100	#DOWN 2277:50:120 	#UP 2635:35:138 
2277       444704     -   887  34  100	#DOWN 2869:34:105 	#UP 2427:50:120 
2869       445645     -   57600  49  100	#DOWN 2487:49:145 	#UP 2277:34:105 
2487       503339     +   4722  78  100	#DOWN 2831:78:121 	#UP 2869:49:145 
2831       508131     +   31905  34  50	#DOWN 1709:10:169 1635:34:165 1221:16:143 489:1:82 	#UP 2487:78:121 
1635       540150     +   104  10  16	#DOWN 1709:10:154 1278:1:191 1221:5:218 	#UP 2831:34:165 1221:9:174 
1709       540357     +   120  8  25	#DOWN 1779:8:182 2647:1:33 1278:38:181 1221:24:170 	#UP 2831:10:169 1635:10:154 1278:10:177 1221:23:198 
1779       540608     -   133  33  16	#DOWN 2647:33:157 1221:10:168 	#UP 1709:8:182 1278:12:169 1221:16:182 
2647       540847     +   12520  30  50	#DOWN 2529:30:115 	#UP 1779:33:157 1709:1:33 1278:3:224 1221:31:133 
2529       553431     +   6142  36  16	#DOWN 2359:36:167 981:4:152 979:17:153 861:3:191 	#UP 2647:30:115 2367:1:234 1324:2:188 
2359       559689     -   1875  14  33	#DOWN 2707:14:175 1035:7:164 847:4:164 	#UP 2529:36:167 981:18:176 861:1:175 
2707       561688     +   16327  0  25	#DOWN 2147:39:109 	#UP 2359:14:175 1035:19:165 847:7:214 551:1:157 
>scaffold2 14 11241 14
2139       0          -   480  12  23	#DOWN 2143:2:242 2227:1:162 2117:5:191 2017:1:-16 1637:12:153 1629:1:168 967:13:197 905:1:155 759:1:225 645:2:216 629:2:222 621:1:219 619:1:200 	#UP 2377:1:190 1957:19:206 1761:2:119 1394:1:149 1201:1:144 1037:18:192 937:16:186 893:3:228 711:3:147 597:1:114 
1637       582        +   104  49  25	#DOWN 2117:49:165 2081:2:25 967:5:183 629:2:176 	#UP 2139:12:153 
2117       800        +   456  13  25	#DOWN 2191:13:140 2199:1:164 2227:1:115 2271:1:178 1527:34:122 1318:1:-4 925:1:49 759:1:83 	#UP 2139:5:191 2275:1:192 2243:1:214 1989:1:197 1637:49:165 967:13:177 
2191       1345       -   603  43  6	#DOWN 2237:1:69 2159:43:134 1975:1:-1 837:1:94 761:4:147 	#UP 2145:3:186 2129:1:249 2117:13:140 1767:4:88 1527:19:155 1199:4:169 1139:2:170 711:1:210 497:1:202 
2159       2031       -   524  56  4	#DOWN 2355:56:119 2167:1:145 2001:2:130 1839:1:-11 1613:1:31 1346:1:101 633:1:144 629:1:93 	#UP 2191:43:134 2119:4:144 1809:1:47 
2355       2623       +   1777  37  100	#DOWN 2275:37:115 2225:2:227 	#UP 2159:56:119 
2275       4464       +   885  23  4	#DOWN 2117:1:192 2113:23:163 1039:2:146 757:3:141 747:8:209 727:12:194 683:7:159 641:1:136 613:1:220 601:1:177 589:4:196 	#UP 2355:37:115 2347:1:99 1689:1:73 
2113       5461       +   448  19  8	#DOWN 2227:19:163 2301:1:-27 1697:19:136 1471:1:182 	#UP 2275:23:163 2151:2:164 757:4:190 747:8:142 727:4:177 683:7:186 
1697       5994       -   118  35  12	#DOWN 2227:35:131 1901:2:219 2157:1:139 683:1:231 	#UP 2113:19:136 2081:1:142 
2227       6192       -   681  22  33	#DOWN 2397:17:146 2285:1:116 2151:1:237 2133:1:225 1673:22:149 1453:2:-32 1077:12:133 	#UP 2219:2:160 2139:1:162 2117:1:115 2113:19:163 1937:2:129 1697:35:131 
1673       6971       +   111  38  6	#DOWN 2397:38:125 2195:2:155 2039:2:156 	#UP 2227:22:149 1851:1:201 1907:1:130 2101:1:54 1077:7:177 
2397       7156       -   2651  46  40	#DOWN 2225:46:112 	#UP 2227:17:146 1673:38:125 1093:2:233 1077:24:194 983:1:202 
2225       9868       +   678  73  100	#DOWN 2205:73:117 2193:1:112 2131:1:167 2121:1:135 1099:1:12 965:1:58 591:1:60 	#UP 2397:46:112 2355:2:227 
2205       10612      +   629  0  33	#DOWN 2141:1:125 1887:2:175 1629:11:204 1523:22:192 1201:2:174 925:11:176 895:1:221 599:1:221 	#UP 2225:73:117 2125:1:127 2115:1:64 
>scaffold3 12 3345 12
2211       0          -   635  142  27	#DOWN 1965:1:236 1753:142:154 1643:4:125 1607:1:182 1601:3:121 1579:3:161 1557:17:180 1298:2:172 1143:117:134 1017:66:172 1011:30:107 955:2:196 	#UP 2019:12:90 2007:14:68 1973:54:101 1927:13:128 1849:3:97 1755:6:187 1707:37:145 1647:43:117 1639:4:194 1571:1:20 1340:4:171 1209:1:221 1165:1:168 787:1:201 
1753       738        -   129  126  30	#DOWN 1965:15:149 1953:2:165 1643:126:160 1607:1:184 1587:2:166 1557:147:132 1497:3:199 1407:2:194 1298:49:187 1203:2:221 903:1:243 667:6:226 	#UP 2211:142:154 1579:2:198 1143:112:152 1017:32:168 1011:37:184 
1643       976        +   106  171  22	#DOWN 1965:171:144 1953:1:173 1607:4:174 1497:5:178 1435:1:181 1407:2:180 1298:47:165 1203:2:216 1153:1:225 901:1:202 661:2:209 	#UP 1753:126:160 2211:4:125 1587:1:202 1557:50:160 1143:7:216 1017:7:218 1011:2:223 
1965       1175       +   206  39  12	#DOWN 1953:39:159 1567:2:131 1497:114:107 1435:2:162 1272:2:162 1266:1:185 1203:81:188 1141:1:142 1009:1:122 955:32:188 903:12:207 901:1:223 	#UP 2211:1:236 1753:15:149 1643:171:144 1557:58:186 1298:179:107 1143:9:134 1017:1:98 1011:1:121 661:1:201 
1953       1489       +   196  3  10	#DOWN 2065:3:112 1567:3:159 1439:27:145 1435:236:95 1272:160:155 1266:37:196 1153:8:159 1141:4:131 	#UP 1965:39:159 1753:2:165 1643:1:173 1557:1:185 1553:35:148 1499:10:194 1497:95:174 1483:3:157 1298:3:157 1203:66:142 955:108:174 903:38:180 901:5:139 
2065       1746       +   314  20  6	#DOWN 1977:6:114 1781:20:150 1623:211:90 1465:7:148 1236:63:179 1233:136:147 853:2:100 841:3:214 	#UP 1953:3:112 1567:254:99 1497:2:186 1435:1:198 1415:7:177 1272:5:103 1266:17:161 1153:22:162 1141:69:160 1021:75:153 1009:22:191 617:1:242 
1781       2159       +   133  168  6	#DOWN 1977:168:137 2037:1:125 1565:1:161 1465:48:153 1003:1:199 	#UP 2065:20:150 1623:41:196 1573:1:250 1567:1:230 1519:1:148 1505:3:141 1236:128:148 1233:104:177 1141:1:184 853:7:185 841:1:212 
1977       2378       -   210  68  28	#DOWN 2037:31:145 1979:1:195 1675:1:182 1665:182:100 1663:68:120 1569:12:186 1545:99:160 1003:27:168 	#UP 2065:6:114 1781:168:137 1567:1:215 1519:1:221 1505:1:173 1465:228:92 1236:35:189 1233:12:194 853:10:233 841:1:255 
1663       2657       +   109  0  11	#DOWN 2037:36:179 1569:20:177 1545:16:173 	#UP 1977:68:120 1465:3:224 1236:3:181 
1665       2666       -   109  138  8	#DOWN 2037:138:147 1597:3:183 1545:137:154 1003:2:180 	#UP 1977:182:100 1623:1:199 1465:13:216 1236:1:203 1233:1:200 
2037       2871       +   273  188  44	#DOWN 1979:24:166 1847:1:220 1675:188:141 1669:4:161 1615:1:217 1597:203:94 1547:49:189 1308:3:196 1173:1:237 671:1:196 	#UP 1977:31:145 1781:1:125 1665:138:147 1663:36:179 1569:27:138 1545:140:110 1465:1:169 1236:2:156 1003:52:171 
1675       3234       -   111  0  40	#DOWN 1979:184:136 1863:1:186 1847:1:232 1669:7:185 1547:40:165 1310:1:224 1308:4:198 1173:1:186 	#UP 2037:188:141 1977:1:182 1621:1:198 1597:23:180 1545:1:178 
>scaffold4 2 4798 2
1649       0          -   107  11  100	#DOWN 2483:11:138 	#UP 2835:2:208 1775:2:133 
2483       194        -   4604  0  100	#DOWN 1897:50:118 1713:1:59 1405:5:176 1157:1:241 	#UP 2835:1:100 2083:7:130 1775:4:131 1649:11:138 1338:21:141 1254:14:186 
>scaffold5 10 6539 10
2253       0          -   773  33  66	#DOWN 2081:14:194 1651:33:151 951:9:207 	#UP 2289:23:147 2285:1:59 2357:1:193 2127:1:108 1833:1:96 1677:1:119 1119:8:150 1099:1:172 921:2:107 763:2:159 
1651       873        +   107  17  50	#DOWN 2081:17:146 951:1:166 	#UP 2253:33:151 2357:1:219 
2081       1075       +   382  41  40	#DOWN 2121:5:177 1845:1:180 1809:41:137 1777:1:60 1637:2:25 	#UP 2121:1:170 2253:14:194 2237:1:211 2289:1:186 2145:1:190 1835:1:230 1809:1:154 1697:1:142 1651:17:146 963:1:91 951:1:155 929:1:197 925:1:143 685:1:179 
1809       1543       -   138  29  8	#DOWN 2121:29:131 2081:1:154 2261:1:134 2285:1:16 	#UP 2081:41:137 2159:1:47 2133:1:172 2155:1:112 951:1:222 377:3:140 
2121       1761       -   464  51  20	#DOWN 2357:51:120 2225:1:135 2221:1:204 2285:1:64 2081:1:170 1077:1:96 	#UP 2081:5:177 1809:29:131 
2357       2294       -   1829  50  12	#DOWN 2311:50:130 2253:1:193 2069:1:175 1651:1:219 1326:1:111 	#UP 2121:51:120 2027:1:64 
2311       4202       -   1168  12  6	#DOWN 2161:1:143 2155:12:138 2145:2:80 1039:11:154 993:3:166 945:15:184 533:1:208 	#UP 2357:50:130 2155:1:121 2131:1:134 2119:1:71 589:1:52 
2155       5457       -   517  43  14	#DOWN 2311:1:121 2115:1:177 1995:43:127 1811:1:158 1809:1:112 1729:1:229 1705:1:146 1145:1:103 963:4:192 	#UP 2311:12:138 2039:1:124 1757:1:130 1039:12:191 993:10:145 945:17:169 757:1:209 619:3:146 
1995       6050       -   232  24  14	#DOWN 2023:2:-29 1811:24:170 1641:1:190 1521:28:122 	#UP 2155:43:127 2131:2:121 2023:1:18 1989:1:25 763:4:152 727:1:137 633:1:160 
1811       6401       -   138  0  66	#DOWN 1983:2:59 2147:1:123 1765:18:181 1641:9:165 	#UP 1995:24:170 2155:1:158 1521:12:167 
>scaffold6 8 5827 8
2133       0          +   474  34  33	#DOWN 2377:36:184 2261:1:189 2265:1:75 2281:1:211 1661:34:124 631:4:184 	#UP 2377:2:228 2247:7:186 2285:1:135 2227:1:225 2255:1:-2 2021:1:177 1809:1:172 1296:24:180 759:8:151 699:1:174 
1661       547        +   109  27  50	#DOWN 2377:27:146 631:2:182 	#UP 2133:34:124 
2377       751        +   2230  34  40	#DOWN 2255:34:163 2151:1:173 2139:1:190 2133:2:228 1855:1:39 1689:2:128 1238:26:122 925:1:120 629:1:167 589:1:191 	#UP 2133:36:184 1907:1:145 1661:27:146 1657:1:200 1189:1:175 1075:2:200 
2255       3093       -   789  9  16	#DOWN 2185:1:202 2141:9:133 2133:1:-2 2027:2:166 1989:1:-18 1855:1:117 1115:15:130 919:1:87 865:15:170 775:6:208 727:3:212 637:2:165 613:1:195 	#UP 2377:34:163 2301:1:36 2233:3:226 2199:1:206 1238:24:161 1107:1:199 915:1:102 589:1:147 
2141       3964       +   483  25  8	#DOWN 2143:25:153 1471:1:179 1119:1:124 963:12:142 763:8:161 633:2:140 409:1:208 	#UP 2255:9:133 2203:2:110 2321:1:41 2205:1:125 2263:1:190 1115:11:182 947:4:156 925:2:138 919:2:224 865:14:162 727:1:164 
2143       4549       -   485  12  20	#DOWN 2163:1:245 2131:12:153 2119:1:249 1855:1:90 1117:3:122 965:1:160 925:18:185 717:4:140 691:1:129 685:5:190 679:1:224 629:1:179 597:2:72 577:1:138 	#UP 2141:25:153 2139:2:242 1907:2:0 1845:1:70 963:17:183 763:7:159 
