ID or #		Start	End
============================
gene6		5736	6824
gene7		6828	7109
gene8		7172	8008
gene9		8443	8751
gene10		8756	9010
gene11		9093	9416
gene12		9737	11308
gene13		11308	12216
gene14		12213	13130
gene15		13770	14000
gene16		14324	14938
gene17		14994	15083
gene18		15252	16148
gene19		16436	16831
gene20		16838	17107
gene21		17258	17809
gene22		17904	18932
gene23		18932	20044
gene25		21361	21957
gene26		21991	22170
gene27		22338	23123
gene28		23120	23944
gene29		23965	24585
gene30		24699	25430
gene31		25513	25827
gene32		25912	27087
gene33		27084	28565
gene34		28573	28827
gene35		28966	29115
gene36		29437	30222
gene37		30279	30704
gene38		30711	31070
gene39		31225	31521
gene40		31518	33170
gene41		33674	35138
gene42		35361	35437
gene43		35485	35560
gene44		35806	38685
gene45		38786	38900
gene46		38946	39022
gene47		39397	41113
gene48		41397	42065
gene50		43363	44923
gene51		44920	45330
gene52		45423	45988
gene53		46296	47048
gene54		47048	47968
gene55		48026	48889
gene56		48926	49444
gene57		49518	50690
gene58		50714	51388
gene59		51385	51855
gene60		51852	52766
gene61		53208	53951
gene62		53953	54858
gene63		55010	55609
gene64		55582	56418
gene65		56425	56597
gene66		57004	58374
gene67		58502	59911
gene68		60315	61538
gene69		61910	62611
gene70		62761	63729
gene71		63731	64624
gene72		64621	65592
gene73		65589	66590
gene74		66628	68187
gene75		68309	69586
gene76		69625	71628
gene77		71772	72530
gene78		72551	73354
gene79		73363	74214
gene80		74227	75384
gene81		75444	76541
gene82		76617	77390
gene83		77446	77592
gene84		77574	77740
gene85		77673	78239
gene86		78236	80677
gene87		80695	81393
gene88		81663	82841
gene89		82838	83518
gene90		83515	85983
gene91		86114	87346
gene92		87403	88419
gene93		88598	90577
gene94		90873	91751
gene95		91912	92841
gene96		93178	93795
gene97		93910	94194
gene98		94475	94945
gene99		94964	96898
gene100		97407	98498
gene101		98491	99402
gene102		99470	100471
gene103		101349	102005
gene104		102032	102343
gene105		102340	103035
gene106		103037	104377
gene107		104526	105308
gene108		105578	106711
gene109		106850	108142
gene110		108139	108861
gene111		109060	109617
gene112		110018	111289
gene113		111258	112292
gene114		112531	113820
gene115		114197	114748
gene116		115146	116984
gene117		117223	118470
gene118		118470	119402
gene119		119534	121060
gene120		121167	121451
gene121		121535	122473
gene122		122529	124184
gene123		124535	124651
gene124		124694	126397
gene125		126967	127314
gene126		127415	129100
gene127		129114	129800
gene128		130096	131745
gene129		131756	132136
gene130		132118	133434
gene131		133431	134090
gene132		134376	134768
gene133		135182	135520
gene134		135584	136180
gene135		136411	136989
gene136		137014	137727
gene137		137755	138531
gene138		138515	139045
gene139		139111	139419
gene140		139416	141893
gene141		141890	142543
gene142		142562	143077
gene143		143047	143559
gene144		143697	146015
gene145		146106	146381
gene146		146484	146675
gene147		146730	147107
gene148		147242	147880
gene149		147884	149068
gene150		149097	151283
gene151		151436	152387
gene152		152395	152667
gene153		152741	153133
gene154		153120	154808
gene155		154961	155425
gene156		155512	156168
gene157		156200	156898
gene158		156909	157385
gene159		157514	158824
gene160		159303	160382
gene161		160511	160765
gene162		160823	161989
gene163		162170	162243
gene164		162768	163451
gene165		163524	164933
gene166		164961	165536
gene167		166003	166452
gene168		166535	166840
gene169		166959	167933
gene170		167944	168765
gene171		169042	169938
gene172		169992	170324
gene173		170360	171412
gene174		171409	171840
gene175		171889	172094
gene176		172143	173075
gene177		173293	173679
gene178		173679	174800
gene179		174797	176011
gene180		176008	176727
gene181		176727	177917
gene182		177910	179526
gene183		179545	179808
gene184		179825	181099
gene185		181096	182991
gene186		183423	185786
gene187		186412	188016
gene188		188676	189515
gene189		189858	189960
gene190		190402	190983
gene191		191633	191941
gene192		191938	193668
gene193		193733	194074
gene194		194084	195082
gene195		195079	195759
gene196		195723	196685
gene197		196682	198445
gene198		198447	198791
gene199		198788	199123
gene200		199127	199855
gene201		200133	201125
gene202		201125	202132
gene203		202281	203192
gene204		203185	203961
gene205		204012	205664
gene206		205846	206742
gene207		206755	207516
gene208		207639	208763
gene209		208765	211470
gene210		211475	212470
gene211		212689	215304
gene212		216028	216370
gene213		216435	217022
gene214		217030	219165
gene215		219169	219627
gene216		219713	220453
gene217		220453	221298
gene218		221295	222110
gene219		222110	223141
gene220		223363	224061
gene221		224067	224678
gene222		224679	225545
gene223		225545	226378
gene224		226401	227900
gene225		228133	228558
gene226		228732	229520
gene227		229531	230760
gene228		230780	231289
gene229		231439	231879
gene230		232010	232822
gene231		232826	234007
gene232		234004	235137
gene233		235134	235895
