Assembly	XA-H-Abyss-Scaffold broken	XA-H-Abyss-Scaffold	XA-H-Cabog-Scaffold broken	XA-H-Cabog-Scaffold	XA-H-Msrca-Scaffold broken	XA-H-Msrca-Scaffold	XA-H-Sga-Scaffold broken	XA-H-Sga-Scaffold	XA-H-Soap-Scaffold broken	XA-H-Soap-Scaffold	XA-H-Spades-Scaffold broken	XA-H-Spades-Scaffold	XA-H-Velvet-Scaffold broken	XA-H-Velvet-Scaffold
# contigs (>= 0 bp)	2369	2334	189	89	155	153	264	264	2028	2017	446	446	258	240
# contigs (>= 1000 bp)	134	121	89	89	99	98	189	189	130	124	115	115	134	119
Total length (>= 0 bp)	5085735	5087518	4848222	4889348	4935414	4935454	4790600	4790600	5187646	5188513	5013482	5013482	4913541	4917523
Total length (>= 1000 bp)	4900200	4908662	4836665	4889348	4901466	4902255	4762794	4762794	4894700	4895994	4942981	4942981	4874782	4880270
# contigs	153	136	89	89	138	136	204	204	141	138	153	153	156	139
Total length	4913108	4919065	4836665	4889348	4928115	4928155	4773017	4773017	4902322	4905519	4971534	4971534	4889453	4893641
Largest contig	245883	245883	312406	312406	322669	322669	132038	132038	196882	199467	312376	312376	307295	378254
Reference length	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469	4967469
GC (%)	65.09	65.09	65.19	65.18	65.08	65.08	65.24	65.24	65.12	65.12	65.04	65.04	65.12	65.12
Reference GC (%)	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92	64.92
N50	89864	94163	107676	105803	117883	117883	49072	49072	87840	91216	117467	117467	83025	105255
NG50	89864	94163	105803	105803	117883	117883	47829	47829	87840	91216	117467	117467	83025	105255
N75	45155	55842	55276	58882	61875	61875	24538	24538	43199	43762	63036	63036	42656	50296
NG75	44031	55842	52143	55276	61875	61875	21743	21743	42700	43199	63036	63036	41763	47847
L50	20	19	16	17	15	15	35	35	20	19	16	16	20	16
LG50	20	19	17	17	15	15	37	37	20	19	16	16	20	16
L75	40	36	32	32	30	30	69	69	40	38	30	30	40	33
LG75	41	36	34	33	30	30	76	76	42	39	30	30	42	34
# misassemblies	2	0	1	1	0	0	6	6	1	1	0	0	0	0
Misassembled contigs length	60758	0	18508	18508	0	0	256146	256146	21883	21883	0	0	0	0
# local misassemblies	14	9	6	6	7	7	22	22	9	9	8	8	12	14
# unaligned contigs	87 + 57 part	78 + 50 part	38 + 46 part	37 + 47 part	91 + 42 part	90 + 41 part	98 + 82 part	98 + 82 part	73 + 56 part	73 + 53 part	106 + 41 part	106 + 41 part	90 + 55 part	84 + 46 part
Unaligned contigs length	3761635	3821390	3782691	3834578	3851470	3851510	3551094	3551094	3812108	3815305	3888011	3888011	3801991	3804714
Genome fraction (%)	20.453	20.333	19.597	19.609	20.064	20.064	21.305	21.305	20.283	20.283	20.181	20.181	19.899	19.906
Duplication ratio	1.133	1.087	1.083	1.083	1.080	1.080	1.155	1.155	1.082	1.082	1.081	1.081	1.100	1.101
# N's per 100 kbp	0.28	34.50	0.00	841.13	0.00	0.81	0.00	0.00	0.67	18.35	4.77	4.77	0.00	81.37
# mismatches per 100 kbp	4032.85	4068.10	4068.20	4038.48	4176.56	4172.96	4117.37	4117.37	4011.93	3958.89	4049.19	4049.19	3994.56	3975.93
# indels per 100 kbp	203.03	192.29	171.49	177.09	194.41	194.95	149.57	149.57	142.03	137.91	141.00	141.00	181.03	161.42
# genes	811 + 78 part	809 + 77 part	774 + 78 part	774 + 79 part	795 + 70 part	795 + 70 part	834 + 95 part	834 + 95 part	803 + 87 part	803 + 87 part	801 + 77 part	801 + 77 part	784 + 81 part	783 + 83 part
Largest alignment	46289	46289	46286	46286	46289	46289	48600	48600	46289	46289	46289	46289	46289	46289
