Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	# contigs	Total length	Largest contig	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# unaligned contigs	Unaligned contigs length	# N's per 100 kbp	
B_cereus_ATCC_1098	822	302	5875896	5784758	341	5810521	257581	5432652	35.21	35.50	48439	51322	20272	22540	32	28	81	67	288 + 41 part	5760196	33.56	
B_fragilis_638R	822	302	5875896	5784758	341	5810521	257581	5373121	35.21	43.42	48439	51700	20272	23238	32	27	81	65	341 + 0 part	5810521	33.56	
M_abscessus_ATCC_19977	822	302	5875896	5784758	341	5810521	257581	5090491	35.21	64.15	48439	57702	20272	27451	32	25	81	57	341 + 0 part	5810521	33.56	
