Assembly	cabog_ctg	asm.ctg
# contigs (>= 200 bp)	127	144
# contigs (>= 1000 bp)	127	142
Total length (>= 200 bp)	3855600	3849141
Total length (>= 1000 bp)	3855600	3848582
# contigs	127	142
Total length	3855600	3848582
Largest contig	256726	224340
Reference length	4033464	4033464
GC (%)	47.53	47.54
Reference GC (%)	47.49	47.49
N50	61249	57089
NG50	57883	55585
N75	29636	30707
NG75	26097	25091
L50	19	20
LG50	21	22
L75	43	43
LG75	48	49
# misassemblies	20	10
Misassembled contigs length	385832	94087
# local misassemblies	11	7
# unaligned contigs	0 + 0 part	0 + 0 part
Unaligned contigs length	0	0
Genome fraction (%)	95.623	95.361
Duplication ratio	1.007	1.006
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	17.01	7.72
# indels per 100 kbp	7.34	7.41
# genes	3374 + 123 part	3346 + 120 part
Largest alignment	256726	224338
NA50	57813	57089
NGA50	53007	55585
NA75	28288	28862
NGA75	25832	25091
LA50	21	20
LGA50	22	22
LA75	46	44
LGA75	51	49
