ID or #		Start	End
============================
gene0		67	594
gene1		749	2218
gene2		2211	3182
gene3		3196	4035
gene4		4069	4602
gene5		4663	6468
gene6		6658	8469
gene7		8626	9744
gene8		9725	10393
gene9		10390	11748
gene10		11753	13936
gene11		14053	14652
gene12		14772	16799
gene13		16857	17630
gene14		17672	18187
gene15		18199	19812
gene16		19916	20542
gene17		20543	22957
gene18		23158	24837
gene19		25098	25676
gene20		25760	27331
gene21		27439	27837
gene22		27844	29187
gene23		29291	30700
gene24		30776	32275
gene25		32312	32641
gene26		32972	34345
gene27		34463	35881
gene28		35937	38051
gene29		38184	38354
gene30		38443	40182
gene31		40235	40396
gene32		41127	42362
gene33		42467	42685
gene34		42825	43892
gene35		44043	44204
gene36		44376	44603
gene37		44730	44918
gene38		45069	46187
gene39		46761	47900
gene40		47982	48215
gene44		51016	52059
gene45		52164	54143
gene46		54166	54300
gene47		54293	55192
gene48		55192	56073
gene49		56114	56347
gene50		56354	57154
gene51		57162	57863
gene52		57912	58970
gene53		58970	59431
gene54		59814	61106
gene55		61238	61834
gene56		61831	62661
gene57		62666	63418
gene58		63566	63889
gene59		63886	64107
gene60		64114	64749
gene61		64817	66109
gene62		66223	69495
gene63		69659	69729
gene64		70055	71635
gene65		71759	72601
gene66		72668	73459
gene67		73486	74730
gene68		74764	75693
gene69		75693	76307
gene70		76324	79683
gene72		81829	82587
gene73		82760	83569
gene74		83590	84522
gene75		84528	85304
gene76		85313	85789
gene77		85774	86766
gene78		86766	88040
gene79		88062	90221
gene80		90357	91712
gene81		91775	92674
gene82		92801	94831
gene83		94844	95599
gene84		95811	95927
gene85		95975	96370
gene86		96640	99465
gene87		99533	100507
gene88		100517	101224
gene89		101272	101445
gene90		101625	102527
gene91		102514	102852
gene92		102852	103304
gene93		103350	105176
gene94		105229	105765
gene95		105816	107693
gene100		112587	113006
gene103		114047	114928
gene104		115296	115430
gene106		117713	118945
gene107		119016	119750
gene108		120079	121107
gene109		121100	122632
gene110		122635	124002
gene111		124054	126231
gene112		126281	127144
gene113		127228	127647
gene114		127891	129834
gene115		129896	130951
gene116		131136	132056
gene117		132044	132649
gene118		132649	133179
gene119		133281	134528
gene120		134695	135081
gene121		135293	135823
gene122		135970	137178
gene123		137275	138087
gene124		138216	138860
gene125		138924	139859
gene126		139867	141351
gene127		141356	142084
gene128		142180	143448
gene129		143540	144100
gene130		144294	145226
gene131		145233	146453
gene132		146684	147325
gene133		147427	148197
gene134		148217	149608
gene135		149625	152828
gene136		152853	154007
gene137		154316	157420
gene138		157526	159445
gene139		159555	160262
gene140		160252	160656
gene141		160767	162242
gene142		162775	163611
gene149		168727	170007
gene150		170364	171050
gene151		171047	172414
gene152		172574	175225
gene153		175290	176375
gene154		176596	177393
gene155		177440	180490
gene156		180542	181636
gene157		181696	183207
gene158		183377	184387
gene159		184406	185278
gene160		185283	186545
gene161		186561	186797
gene162		186896	187519
gene163		187557	188603
gene164		188736	189452
gene165		189457	190170
gene166		190139	191074
gene167		191102	192124
gene168		192127	192930
gene169		193051	194121
gene170		194541	196376
gene171		196379	197611
gene172		197615	198244
gene173		198364	198966
gene174		199803	200342
gene175		200489	202987
gene176		202995	204761
gene177		204770	205849
gene178		205907	207799
gene179		207927	208712
gene180		208773	209282
gene181		209266	209781
gene182		209786	210262
gene183		210450	211229
gene184		211249	211983
gene185		212104	212802
gene186		212964	213362
gene248		273231	274220
gene249		274293	276065
gene250		276084	277238
gene251		277235	277873
