ID or #		Start	End
============================
gene171		150325	150399
gene247		227950	228801
gene359		319555	320259
gene360		320384	321253
gene496		453084	454610
gene497		454625	455188
gene649		603558	603986
gene2840		2599600	2600259
gene3327		3015552	3017408
gene3328		3017467	3018051
gene4825		4375345	4375818
gene4826		4376035	4376973
gene4827		4376993	4378300
gene4828		4378446	4379561
gene4829		4379982	4380443
gene5017		4539812	4541011
gene5018		4541415	4541528
gene5019		4541531	4543117
gene5359		4827983	4828450
gene5366		4834798	4836093
gene5367		4836124	4837653
gene5368		4837650	4838405
