Assembly	1_BC-M-Abyss-Contig	1_BC-M-Cabog-Contig	1_BC-M-Mira-Contig	1_BC-M-Msrca-Contig	1_BC-M-Sga-Contig	1_BC-M-Soap-Contig	1_BC-M-Spades-Contig	1_BC-M-Velvet-Contig	2_BC-M-Abyss-Scaffold	2_BC-M-Cabog-Scaffold	2_BC-M-Msrca-Scaffold	2_BC-M-Sga-Scaffold	2_BC-M-Soap-Scaffold	2_BC-M-Spades-Scaffold	2_BC-M-Velvet-Scaffold
# contigs	87	77	132	68	361	79	113	373	74	33	61	341	56	73	78
Total length	5380960	5419570	5413818	5432639	5368062	5341631	5395402	5310336	5380708	5420940	5433046	5321914	5344353	5401521	5356258
Largest contig	430487	258489	311769	766822	106317	606530	346945	91844	430487	1198056	1197734	106317	1194879	521048	896381
Reference length	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652	5432652
GC (%)	35.30	35.41	35.42	35.39	35.30	35.28	35.36	35.29	35.30	35.41	35.39	35.27	35.29	35.37	35.30
Reference GC (%)	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50	35.50
N50	130570	155352	116480	246697	25767	246346	103691	24786	135613	431479	337861	25876	456635	212506	247748
NG50	130570	155352	116480	246697	25512	246346	103691	24465	135613	431479	337861	25512	456635	212506	247748
N75	69698	76333	52231	170659	16197	78462	60216	13917	74995	211009	209762	16762	128609	120480	88406
NG75	65667	76333	52231	170659	15678	74856	57869	13213	74197	211009	209762	15678	116644	120480	88406
L50	12	13	14	6	64	6	17	65	11	4	4	63	4	8	6
LG50	12	13	14	6	65	6	17	68	11	4	4	65	4	8	6
L75	26	26	32	13	129	16	34	136	24	9	10	126	10	16	14
LG75	27	26	32	13	132	17	35	143	25	9	10	132	11	16	14
# misassemblies	2	4	8	9	1	0	5	3	3	10	12	1	0	6	7
Misassembled contigs length	52909	541451	532679	289559	508	0	105455	72913	126343	1044142	669110	508	0	170879	705370
# local misassemblies	25	6	14	11	1	21	14	11	29	12	13	1	41	38	263
# unaligned contigs	0 + 1 part	0 + 1 part	3 + 4 part	0 + 1 part	0 + 2 part	1 + 0 part	2 + 1 part	1 + 3 part	0 + 1 part	0 + 1 part	0 + 1 part	0 + 1 part	1 + 0 part	1 + 1 part	1 + 1 part
Unaligned contigs length	2338	2142	5369	2142	2237	2316	3406	2596	2338	2142	2142	2139	2316	2640	2404
Genome fraction (%)	98.451	99.323	99.155	99.160	98.348	98.226	98.926	97.661	98.444	99.334	99.160	97.572	98.258	98.997	97.755
Duplication ratio	1.010	1.006	1.010	1.011	1.004	1.003	1.008	1.003	1.010	1.017	1.011	1.004	1.029	1.012	1.010
# N's per 100 kbp	102.42	0.00	3.53	0.00	0.00	0.00	4.10	0.00	116.43	17.43	7.49	0.00	8.51	8.70	783.91
# mismatches per 100 kbp	6.56	4.80	4.85	9.08	0.80	8.96	12.78	6.18	6.58	4.39	9.08	0.68	8.15	13.16	6.25
# indels per 100 kbp	8.00	2.41	2.21	3.58	2.04	2.98	2.92	3.13	7.57	5.86	5.94	2.06	5.68	5.76	30.20
# genes	5813 + 73 part	5934 + 64 part	5919 + 85 part	5961 + 43 part	5684 + 231 part	5828 + 58 part	5896 + 68 part	5543 + 328 part	5819 + 65 part	5964 + 34 part	5964 + 40 part	5642 + 232 part	5843 + 47 part	5921 + 54 part	5608 + 278 part
Largest alignment	430487	258489	311769	766822	106317	606357	346882	91844	430487	1197973	1197581	106317	1194643	520985	890081
NA50	130570	150479	100038	246697	25767	246346	103691	24577	135296	288228	337861	25876	455989	212506	208398
NGA50	130570	150479	100038	246697	25512	246346	103691	24465	135296	288228	337861	25512	455989	212506	208398
NA75	69698	74529	51519	170659	16197	78462	60216	13814	74995	131868	184731	16762	128609	120478	87283
NGA75	65667	74529	51519	170659	15678	74856	57817	13213	73848	131868	184731	15678	116644	120478	80463
LA50	12	14	15	6	64	6	17	66	11	5	4	63	4	8	7
LGA50	12	14	15	6	65	6	17	68	11	5	4	65	4	8	7
LA75	26	27	34	13	129	16	34	137	24	11	10	126	10	16	15
LGA75	27	27	34	13	132	17	35	143	25	11	10	132	11	16	16
