ID or #		Start	End
============================
gene5		5272	5348
gene6		5529	6851
gene7		6923	7333
gene8		8010	9431
gene9		9688	11193
gene10		11359	11712
gene11		12123	12821
gene12		12841	13821
gene13		13837	14496
gene15		16986	17753
gene16		17750	19726
gene17		19723	20622
gene18		20616	22715
gene19		23027	24175
gene20		24293	25549
gene21		25638	26528
gene22		26525	27373
gene26		30520	31539
gene27		31724	32494
gene28		32767	33561
gene29		33634	35208
gene30		35287	36267
gene31		36267	37178
gene32		37180	39033
gene33		39026	40300
gene34		40297	41241
gene35		41238	42182
gene36		42815	43000
gene38		45192	45464
gene39		45665	46411
gene40		46553	46798
gene41		46810	47997
gene44		50362	51048
gene45		51045	51575
gene46		51657	52760
gene47		52798	54069
gene48		54225	55343
gene49		55432	56070
gene50		56226	56690
gene51		57047	57337
gene52		57309	58013
gene53		58039	58410
gene54		58614	59711
gene56		61179	63086
gene57		63201	63380
gene58		63407	65026
gene59		65028	66167
gene60		66160	67083
gene61		67140	68729
gene62		68937	69413
gene63		69572	69931
gene64		70001	72334
gene65		72525	73130
gene66		73197	73544
gene67		73546	74289
gene68		74421	75335
gene69		75339	76007
gene70		76004	76183
gene71		76260	77489
gene72		77571	78896
gene73		79019	80197
gene75		83624	84262
gene76		84323	84904
gene77		85175	85501
gene78		85542	87119
gene79		87231	87773
gene80		87763	88110
gene81		88204	88656
gene82		88684	89046
gene83		89062	89322
gene85		90029	90784
gene86		90781	92241
gene87		92703	92778
gene88		92945	94393
gene89		94404	95705
gene90		95773	96516
gene93		98601	98873
gene94		98873	99286
gene95		99594	100799
gene96		100958	102349
gene97		102466	103428
gene98		103425	104009
gene99		104021	104335
gene100		104571	105125
gene101		105118	105813
gene104		109242	109751
gene105		109744	110769
gene106		110751	111416
gene109		117810	118130
gene110		118263	119171
gene111		119308	119865
gene112		119862	121163
gene113		121214	122746
gene114		122746	122991
gene115		123052	124965
gene118		126365	127279
gene119		127358	128131
gene120		128367	129374
gene121		129716	130810
gene125		135210	136199
gene126		136199	137707
gene127		137886	138371
gene128		138361	138615
gene129		138697	139965
gene130		140019	140180
gene131		140177	140293
gene132		140531	141214
gene133		141227	142057
gene134		142325	142705
gene135		142823	143314
gene137		144264	145679
gene138		145826	146179
gene143		150334	151869
gene144		152002	152688
gene145		152755	153738
gene146		153815	155035
gene147		155127	156479
gene148		156948	157637
gene149		157673	160240
gene150		160308	161702
gene151		161711	163084
