All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     AH1 broken             AH1     BC1 broken            BC1            BC2 broken            BC2
# contigs (>= 0 bp)          113             37              113            37             113            37             
# contigs (>= 1000 bp)       81              37              81             37             81             37             
Total length (>= 0 bp)       5009370         5010956         5009370        5010956        5009370        5010956        
Total length (>= 1000 bp)    4994206         5010956         4994206        5010956        4994206        5010956        
# contigs                    94              37              94             37             94             37             
Total length                 5004541         5010956         5004541        5010956        5004541        5010956        
Largest contig               710684          712801          710684         712801         710684         712801         
Reference length             4742394         4742394         5224283        5224283        210423         210423         
GC (%)                       61.60           61.60           61.60          61.60          61.60          61.60          
Reference GC (%)             61.55           61.55           35.58          35.58          33.69          33.69          
N50                          278382          278382          278382         278382         278382         278382         
NG50                         278382          278382          263263         278382         710684         712801         
N75                          133236          189722          133236         189722         133236         189722         
NG75                         156215          207147          118682         156215         710684         712801         
L50                          6               6               6              6              6              6              
LG50                         6               6               7              6              1              1              
L75                          12              11              12             11             12             11             
LG75                         11              10              14             12             1              1              
# misassemblies              2               2               -              -              0              0              
Misassembled contigs length  28456           28456           -              -              0              0              
# local misassemblies        1               1               -              -              0              0              
# unaligned contigs          40 + 32 part    10 + 25 part    94 + 0 part    37 + 0 part    93 + 1 part    36 + 1 part    
Unaligned contigs length     4267418         4310363         5004541        5010956        5003023        5009438        
Genome fraction (%)          14.714          14.413          -              -              0.721          0.721          
Duplication ratio            1.056           1.025           -              -              1.000          1.000          
# N's per 100 kbp            0.00            31.65           0.00           31.65          0.00           31.65          
# mismatches per 100 kbp     3837.64         4041.34         -              -              4347.83        4347.83        
# indels per 100 kbp         141.51          201.68          -              -              0.00           0.00           
Largest alignment            52397           52397           -              -              1518           1518           
