ID or #		Start	End
============================
gene0		408	1748
gene1		1927	3066
gene2		3182	3406
gene3		3418	4545
gene4		4584	6506
gene5		6595	9066
gene6		9241	9339
gene11		14203	14318
gene12		14353	15354
gene13		15470	16933
gene14		17038	18354
gene15		18516	19403
gene16		19422	20012
gene17		20340	21614
gene18		21771	21863
gene19		21897	22421
gene20		22457	23125
gene21		23128	23763
gene22		23889	24428
gene23		24406	24546
gene24		24536	25036
gene25		25513	27201
gene26		27224	27553
gene27		27568	28164
gene28		28179	28400
gene29		28316	28495
gene30		28593	28862
gene35		33977	34092
gene36		34288	34467
gene37		34540	35961
gene38		35963	36589
gene39		36625	37608
gene40		37605	38441
gene41		38441	38806
gene42		38927	39667
gene43		39654	39944
gene44		39913	40788
gene45		40809	41093
gene46		41611	43593
gene47		43759	44526
gene48		44740	45297
gene49		45294	46172
gene50		46283	47146
gene51		47385	47645
gene52		47737	47916
gene53		48113	48982
gene54		49037	49885
gene55		49999	50382
gene56		50481	50828
gene57		51151	52530
gene58		52549	53502
gene59		53503	54135
gene60		54206	54430
gene61		54537	58067
gene62		58204	58740
gene63		58971	60572
gene64		60678	62045
gene65		62060	62335
gene66		62394	62702
gene67		62699	63352
gene68		63310	63708
gene69		63796	64278
gene70		64439	64512
gene71		64526	64597
gene72		64950	67328
gene73		67554	68984
gene74		68981	69523
gene75		69609	71510
gene76		71736	72524
gene77		72531	73406
gene78		73511	74434
gene79		74609	76051
gene80		76057	76644
gene81		76638	77510
gene82		77503	78345
gene83		78346	78708
gene84		78705	79220
gene85		79172	79375
gene87		80557	82056
gene88		82152	82286
gene89		82283	82408
gene92		87094	87209
gene93		87416	87877
gene94		88051	88599
gene95		88604	89668
gene96		89691	92126
gene97		92223	93599
gene98		93603	94676
gene99		94837	95946
gene100		95963	96643
gene101		96759	97235
gene102		97325	98782
gene103		99213	99878
gene104		99859	101256
gene105		101259	101666
gene106		101663	102406
gene107		102410	102922
gene108		102990	103649
gene109		103777	103923
gene110		103956	104135
gene111		104267	104800
gene112		104968	105393
gene113		105571	106263
gene114		106496	106996
gene115		107064	107423
gene116		107500	108099
gene117		108393	111926
gene118		111964	115575
gene119		115656	115937
gene120		116052	116474
gene121		116504	116974
gene122		117181	119259
gene123		119377	120564
gene124		120965	121273
gene125		121308	121940
gene126		121966	122589
gene127		122589	122879
gene128		122908	123738
gene129		123799	124077
gene130		124095	124436
gene131		124440	125099
gene132		125101	125535
