All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B-Hiseq broken  GAGE-B-Hiseq     Velvet_1208-Hiseq broken  Velvet_1208-Hiseq  GAGE-B-Miseq broken  GAGE-B-Miseq    Velvet_1208-Miseq broken  Velvet_1208-Miseq
# contigs (>= 500 bp)        213                  85               220                       104                156                  138             135                       133              
# contigs (>= 1000 bp)       183                  65               190                       79                 124                  113             109                       108              
Total length (>= 500 bp)     3914915              3940257          3880977                   3903678            3944260              3945576         3891016                   3892321          
Total length (>= 1000 bp)    3894214              3927326          3860441                   3886781            3921645              3928680         3872867                   3875057          
# contigs                    213                  85               220                       104                156                  138             135                       133              
Total length                 3914915              3940257          3880977                   3903678            3944260              3945576         3891016                   3892321          
Largest contig               157783               524347           157783                    411927             246346               246346          246346                    246346           
Reference length             4033464              4033464          4033464                   4033464            4033464              4033464         4033464                   4033464          
GC (%)                       47.50                47.50            47.63                     47.63              47.52                47.51           47.69                     47.69            
Reference GC (%)             47.49                47.49            47.49                     47.49              47.49                47.49           47.49                     47.49            
N50                          40877                172545           41373                     163386             92036                109996          105176                    105176           
NG50                         40085                172545           40085                     157209             92036                109996          105176                    105176           
N75                          22754                92099            19470                     75755              43442                47047           43442                     43442            
NG75                         20673                82167            18535                     71623              39974                46531           39408                     39408            
L50                          30                   7                29                        8                  15                   11              12                        12               
LG50                         31                   7                31                        9                  15                   11              12                        12               
L75                          62                   14               62                        18                 31                   25              26                        26               
LG75                         66                   15               68                        19                 33                   26              28                        28               
# misassemblies              4                    10               8                         10                 14                   22              5                         6                
Misassembled contigs length  55189                395034           69468                     273985             749414               1210318         28731                     45660            
# local misassemblies        8                    129              6                         123                2                    13              3                         6                
# unaligned contigs          1 + 1 part           1 + 0 part       1 + 0 part                1 + 0 part         1 + 5 part           1 + 3 part      1 + 2 part                1 + 2 part       
Unaligned contigs length     576                  549              549                       549                6703                 6324            6297                      6297             
Genome fraction (%)          97.038               97.140           96.181                    96.251             97.563               97.598          96.223                    96.242           
Duplication ratio            1.011                1.016            1.011                     1.016              1.007                1.007           1.007                     1.007            
# N's per 100 kbp            0.00                 547.10           0.00                      515.80             0.00                 5.58            0.00                      1.28             
# mismatches per 100 kbp     4.47                 5.18             5.70                      5.80               4.09                 3.96            3.99                      4.33             
# indels per 100 kbp         4.85                 9.44             3.38                      5.28               2.80                 4.88            2.63                      2.65             
# genes                      3386 + 132 part      3400 + 128 part  3371 + 132 part           3379 + 130 part    3491 + 79 part       3492 + 78 part  3458 + 72 part            3459 + 71 part   
Largest alignment            157783               521619           157783                    409820             246346               246346          246346                    246346           
NA50                         40877                171505           41373                     163055             67096                75901           105176                    105176           
NGA50                        39468                171505           39468                     156829             63574                67096           105176                    105176           
NA75                         22753                91938            19470                     71376              40333                43122           43442                     43442            
NGA75                        20673                80883            18535                     59664              39408                40333           39408                     39408            
LA50                         30                   7                29                        8                  16                   13              12                        12               
LGA50                        31                   7                31                        9                  17                   14              12                        12               
LA75                         62                   14               62                        18                 35                   32              26                        26               
LGA75                        66                   15               68                        20                 37                   33              28                        28               
