Assembly	GAGE-B broken	GAGE-B	cabog_7.0 broken	cabog_7.0	cabog_8.1 broken	cabog_8.1
# contigs (>= 500 bp)	127	108	142	94	509	183
# contigs (>= 1000 bp)	127	108	142	94	499	183
Total length (>= 500 bp)	3855600	3855980	3848582	3850141	3705707	3717805
Total length (>= 1000 bp)	3855600	3855980	3848582	3850141	3698786	3717805
# contigs	127	108	142	94	509	183
Total length	3855600	3855980	3848582	3850141	3705707	3717805
Largest contig	256726	256726	224340	355677	39047	184259
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.53	47.53	47.54	47.54	47.94	47.93
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	61249	67078	57089	134075	10437	38698
NG50	57883	67009	55585	102138	9568	35387
N75	29636	34758	30707	52902	6201	19302
NG75	26097	28288	25091	45596	5114	17084
L50	19	16	20	10	101	30
LG50	21	17	22	11	117	34
L75	43	36	43	24	217	64
LG75	48	40	49	27	260	77
# misassemblies	20	21	10	11	8	10
Misassembled contigs length	385832	531956	94087	183425	39006	169129
# local misassemblies	11	23	7	13	7	38
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 0 part	0 + 1 part	0 + 0 part
Unaligned contigs length	0	0	0	0	52	0
Genome fraction (%)	95.623	95.629	95.361	95.321	91.790	92.029
Duplication ratio	1.007	1.012	1.006	1.023	1.002	1.044
# N's per 100 kbp	0.00	9.85	0.00	25.97	0.00	189.33
# mismatches per 100 kbp	17.01	17.32	7.72	7.41	9.53	8.49
# indels per 100 kbp	7.34	9.00	7.41	18.75	4.65	65.49
# genes	3374 + 123 part	3380 + 117 part	3346 + 120 part	3383 + 84 part	2970 + 384 part	3185 + 170 part
Largest alignment	256726	256726	224338	355655	39047	184259
NA50	57813	63201	57089	134075	10437	38209
NGA50	53007	62046	55585	102118	9546	34659
NA75	28288	33039	28862	47302	6069	19085
NGA75	25832	28288	25091	40477	5039	16587
LA50	21	18	20	10	101	31
LGA50	22	19	22	11	118	35
LA75	46	39	44	25	218	65
LGA75	51	43	49	28	262	78
