ID or #		Start	End
============================
gene6		9241	9339
gene18		21771	21863
gene32		30765	30841
gene33		30850	30925
gene35		33977	34092
gene71		64526	64597
gene167		145427	145525
gene170		150202	150312
gene171		150325	150399
gene172		150404	150476
gene178		150984	151055
gene179		151066	151138
gene247		227950	228801
gene309		278782	278857
gene310		278945	279019
gene311		279025	279097
gene312		279114	279199
gene313		279293	279369
gene314		279374	279450
gene315		279452	279522
gene318		284267	284382
gene319		284395	284471
gene320		284475	284550
gene322		284925	285003
gene323		285007	285082
gene359		319555	320259
gene360		320384	321253
gene373		335446	335561
gene496		453084	454610
gene497		454625	455188
gene649		603558	603986
gene651		604864	604962
gene654		609653	609763
gene655		609775	609849
gene661		610305	610380
gene662		610399	610474
gene663		610485	610568
gene664		610576	610649
gene665		610669	610744
gene666		610808	610882
gene667		610888	610962
gene668		610977	611047
gene674		615179	615252
gene866		818008	818169
gene869		822861	822971
gene870		822980	823055
gene871		823064	823147
gene872		823159	823233
gene873		823238	823313
gene874		823328	823408
gene875		823438	823512
gene876		823529	823617
gene877		823621	823694
gene881		824031	824123
gene889		824722	824793
gene2840		2599600	2600259
gene3327		3015552	3017408
gene3328		3017467	3018051
gene4685		4248301	4248374
gene4825		4375345	4375818
gene4826		4376035	4376973
gene4827		4376993	4378300
gene4828		4378446	4379561
gene4829		4379982	4380443
gene5017		4539812	4541011
gene5018		4541415	4541528
gene5019		4541531	4543117
gene5136		4648918	4648989
gene5137		4648996	4649086
gene5138		4649094	4649168
gene5139		4649176	4649252
gene5140		4649263	4649333
gene5141		4649347	4649422
gene5142		4649433	4649508
gene5143		4649523	4649598
gene5144		4649611	4649686
gene5145		4649688	4649764
gene5146		4649792	4649884
gene5147		4649902	4649978
gene5148		4649983	4650059
gene5149		4650080	4650152
gene5150		4650168	4650241
gene5151		4650252	4650325
gene5161		4655827	4655940
gene5359		4827983	4828450
gene5366		4834798	4836093
gene5367		4836124	4837653
gene5368		4837650	4838405
gene5369		4838438	4839622
gene5370		4839762	4840766
gene5371		4840793	4841821
gene5372		4841957	4842202
gene5373		4842212	4843519
gene5374		4843776	4843854
gene5746		5203885	5203956
