All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B          Msrca_183_k89   Msrca_183_k99    Msrca_210_k89   Msrca_210_k99
# contigs (>= 200 bp)        105             137             330              179             119          
# contigs (>= 1000 bp)       80              108             273              135             72           
Total length (>= 200 bp)     3994617         3994843         3876806          4013483         194673       
Total length (>= 1000 bp)    3980159         3977918         3839316          3986296         162098       
# contigs                    91              121             314              164             108          
Total length                 3989162         3988448         3870114          4007678         190023       
Largest contig               555664          356964          117961           211069          4811         
Reference length             4033464         4033464         4033464          4033464         4033464      
GC (%)                       47.50           47.51           47.52            47.51           43.79        
Reference GC (%)             47.49           47.49           47.49            47.49           47.49        
N50                          241604          108823          35282            93473           2355         
N75                          85155           57567           13936            43374           1312         
L50                          6               9               32               14              29           
L75                          13              23              79               30              56           
# misassemblies              8               8               11               8               2            
Misassembled contigs length  708761          422752          52197            228152          4646         
# local misassemblies        5               4               5                6               0            
# unaligned contigs          0 + 2 part      0 + 2 part      0 + 2 part       0 + 4 part      0 + 0 part   
Unaligned contigs length     399             399             104              475             0            
Genome fraction (%)          98.147          98.121          95.714           98.498          4.709        
Duplication ratio            1.013           1.008           1.003            1.009           1.004        
# N's per 100 kbp            0.00            0.00            0.00             0.00            0.00         
# mismatches per 100 kbp     68.61           68.93           9.51             50.57           30.01        
# indels per 100 kbp         6.90            6.62            4.14             5.64            10.53        
# genes                      3573 + 46 part  3552 + 65 part  3289 + 246 part  3541 + 87 part  94 + 129 part
Largest alignment            555664          356958          117961           211069          4811         
NA50                         236373          90882           35282            81529           2208         
NA75                         76901           48002           13936            43374           1297         
LA50                         6               10              32               15              30           
LA75                         15              24              79               31              57           
