All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     gi_117617447_ref_NC_008570_1 broken    gi_117617447_ref_NC_008570_1    gi_42779081_ref_NC_003909_8 broken    gi_42779081_ref_NC_003909_8    gi_44004339_ref_NC_005707_1 broken    gi_44004339_ref_NC_005707_1
# contigs (>= 0 bp)          113                                    37                              113                                   37                             113                                   37                             
# contigs (>= 1000 bp)       81                                     37                              81                                    37                             81                                    37                             
Total length (>= 0 bp)       5009370                                5010956                         5009370                               5010956                        5009370                               5010956                        
Total length (>= 1000 bp)    4994206                                5010956                         4994206                               5010956                        4994206                               5010956                        
# contigs                    94                                     37                              94                                    37                             94                                    37                             
Total length                 5004541                                5010956                         5004541                               5010956                        5004541                               5010956                        
Largest contig               710684                                 712801                          710684                                712801                         710684                                712801                         
Reference length             4744448                                4744448                         5224283                               5224283                        208369                                208369                         
GC (%)                       61.60                                  61.60                           61.60                                 61.60                          61.60                                 61.60                          
Reference GC (%)             61.55                                  61.55                           35.58                                 35.58                          33.44                                 33.44                          
N50                          278382                                 278382                          278382                                278382                         278382                                278382                         
NG50                         278382                                 278382                          263263                                278382                         710684                                712801                         
N75                          133236                                 189722                          133236                                189722                         133236                                189722                         
NG75                         156215                                 207147                          118682                                156215                         710684                                712801                         
L50                          6                                      6                               6                                     6                              6                                     6                              
LG50                         6                                      6                               7                                     6                              1                                     1                              
L75                          12                                     11                              12                                    11                             12                                    11                             
LG75                         11                                     10                              14                                    12                             1                                     1                              
# misassemblies              2                                      2                               -                                     -                              -                                     -                              
Misassembled contigs length  28456                                  28456                           -                                     -                              -                                     -                              
# local misassemblies        1                                      1                               -                                     -                              -                                     -                              
# unaligned contigs          40 + 32 part                           10 + 25 part                    94 + 0 part                           37 + 0 part                    94 + 0 part                           37 + 0 part                    
Unaligned contigs length     4265289                                4308234                         5004541                               5010956                        5004541                               5010956                        
Genome fraction (%)          14.751                                 14.450                          -                                     -                              -                                     -                              
Duplication ratio            1.056                                  1.025                           -                                     -                              -                                     -                              
# N's per 100 kbp            0.00                                   31.65                           0.00                                  31.65                          0.00                                  31.65                          
# mismatches per 100 kbp     3837.64                                4041.34                         -                                     -                              -                                     -                              
# indels per 100 kbp         141.51                                 201.68                          -                                     -                              -                                     -                              
Largest alignment            52397                                  52397                           -                                     -                              -                                     -                              
