ID or #		Start	End
============================
gene0		1	1476
gene1		2169	3368
gene2		3419	4312
gene3		4275	5480
gene4		5473	6024
gene5		6249	8276
gene6		8409	9620
gene7		9620	9847
gene8		9849	10436
gene9		10485	11699
gene10		11717	12328
gene11		12325	12723
gene12		13080	13916
gene13		14060	14284
gene14		14301	14588
gene15		14598	16145
gene16		16690	17262
gene17		17269	18189
gene18		18389	20908
gene19		20919	21860
gene20		21909	21985
gene21		22112	22187
gene22		22158	23429
gene23		23501	24418
gene24		24439	24843
gene25		25003	25539
gene26		25546	26409
gene27		26466	27365
gene28		27424	27849
gene29		28004	28267
gene31		28599	29315
gene32		29373	30047
gene33		30054	31940
gene34		31940	33202
gene35		33199	34713
gene36		34710	36167
gene37		36164	37669
gene38		37666	38193
gene39		38299	39657
gene40		39915	40000
gene41		40490	41104
gene42		41104	42270
gene43		42309	42746
gene44		42883	43470
gene45		43895	44203
gene48		46123	46413
gene49		46480	46815
gene50		46962	48008
gene51		48005	48460
gene52		48482	48982
gene53		49020	49490
gene54		49640	50524
gene55		50634	54539
gene56		54576	55313
gene57		55310	56521
gene58		56726	57058
gene59		57232	57879
gene60		57885	59072
gene61		59120	60523
gene62		60530	60913
gene63		61012	62259
gene64		62293	63438
gene65		63484	64212
gene66		64286	65194
gene67		65270	65908
gene68		65955	67160
gene69		67187	67573
gene70		67570	68406
gene71		68434	69264
gene72		69266	70060
gene73		70057	71670
gene74		71766	72983
gene75		72983	73882
gene76		74058	74909
gene77		74906	75826
gene78		75823	76080
gene79		76077	77234
gene80		77407	79113
gene81		79114	79803
gene82		79890	80324
gene83		80364	81578
gene84		81453	82013
gene85		82086	83018
gene86		83095	84654
gene87		84707	85846
gene88		85846	86763
gene89		86784	87617
gene90		88119	92714
gene91		92707	94173
gene92		94636	95418
gene93		95424	96191
gene94		96267	96533
gene95		96559	97890
gene96		97901	98911
gene97		98956	99549
gene98		99546	101108
gene99		101092	101922
gene100		101919	103169
gene101		103162	103758
gene102		103872	105362
gene103		105363	106145
gene104		106396	107634
gene105		107679	108866
gene106		108866	109354
gene108		110177	110743
gene109		110743	111411
gene110		111415	112071
gene111		112307	113848
gene112		113915	114406
gene113		114403	115518
gene114		115623	116021
gene115		116943	117110
gene116		117199	117732
gene117		117899	118522
gene118		118728	118883
gene119		119060	119806
gene120		120051	120377
gene121		120459	121622
gene122		121597	122460
gene123		122517	123587
gene124		123584	124501
gene125		124627	125172
gene126		125344	125901
gene127		125920	126861
gene128		127155	127907
gene129		127948	128628
gene130		128625	129410
gene131		129546	130472
gene132		130436	131155
gene133		131476	133215
gene134		133293	133502
gene135		133580	134686
gene136		134683	135246
gene137		135366	135980
gene138		135937	136827
gene139		136824	138371
gene140		138368	139402
gene141		139399	140937
gene142		140934	141794
gene143		141791	142663
gene144		142855	143487
gene145		143651	144400
gene146		144411	145154
gene147		145151	146191
gene148		146195	146566
gene149		146712	147062
gene150		147109	148782
gene151		148859	149305
gene152		149348	150604
gene153		150601	151431
gene154		151479	151937
gene155		151934	153487
gene156		153616	154053
gene157		154064	154777
gene158		154907	155872
gene159		155876	156286
gene160		156299	157189
gene161		157190	157753
gene162		157799	158521
gene163		158566	159339
gene164		159387	160193
gene165		160194	160958
gene166		160955	161773
gene167		161788	163533
gene168		163739	164554
gene169		164830	166068
gene170		166052	168013
gene171		168010	168573
gene172		168570	169484
gene173		169498	171483
gene174		171674	172648
gene175		172726	173727
