Assembly	GAGE-B-Hiseq	Velvet_1208-Hiseq	GAGE-B-Miseq	Velvet_1208-Miseq
# contigs (>= 500 bp)	85	104	138	133
# contigs (>= 1000 bp)	65	79	113	108
Total length (>= 500 bp)	3940257	3903678	3945576	3892321
Total length (>= 1000 bp)	3927326	3886781	3928680	3875057
# contigs	85	104	138	133
Total length	3940257	3903678	3945576	3892321
Largest contig	524347	411927	246346	246346
Reference length	4033464	4033464	4033464	4033464
GC (%)	47.50	47.63	47.51	47.69
Reference GC (%)	47.49	47.49	47.49	47.49
N50	172545	163386	109996	105176
NG50	172545	157209	109996	105176
N75	92099	75755	47047	43442
NG75	82167	71623	46531	39408
L50	7	8	11	12
LG50	7	9	11	12
L75	14	18	25	26
LG75	15	19	26	28
# misassemblies	10	10	22	6
Misassembled contigs length	395034	273985	1210318	45660
# local misassemblies	129	123	13	6
# unaligned contigs	1 + 0 part	1 + 0 part	1 + 3 part	1 + 2 part
Unaligned contigs length	549	549	6324	6297
Genome fraction (%)	97.140	96.251	97.598	96.242
Duplication ratio	1.016	1.016	1.007	1.007
# N's per 100 kbp	547.10	515.80	5.58	1.28
# mismatches per 100 kbp	5.18	5.80	3.96	4.33
# indels per 100 kbp	9.44	5.28	4.88	2.65
# genes	3400 + 128 part	3379 + 130 part	3492 + 78 part	3459 + 71 part
Largest alignment	521619	409820	246346	246346
NA50	171505	163055	75901	105176
NGA50	171505	156829	67096	105176
NA75	91938	71376	43122	43442
NGA75	80883	59664	40333	39408
LA50	7	8	13	12
LGA50	7	9	14	12
LA75	14	18	32	26
LGA75	15	20	33	28
