ID or #		Start	End
============================
gene0		207497	209056
gene6		5493	5840
gene7		5937	6227
gene8		6403	7992
gene9		8591	8770
gene10		8815	9987
gene11		10251	11387
gene12		11371	12738
gene13		12735	13244
gene14		14101	14583
gene15		14623	15768
gene16		16379	17251
gene17		17431	18114
gene18		18176	18364
gene19		18396	18500
gene20		18586	18885
gene21		18882	19265
gene22		19430	20005
gene23		20022	22229
gene24		22226	26206
gene25		26237	28336
gene26		28339	29253
gene27		29254	29604
gene28		29671	30006
gene29		30241	30429
gene30		30426	30566
gene31		30638	31561
gene32		31668	31844
gene33		31966	32889
gene34		32973	34856
gene35		35133	35264
gene36		35592	36122
gene37		36112	37842
gene38		38000	38551
gene39		38951	39058
gene40		39048	39209
gene41		39202	39339
gene42		39321	39863
gene43		39941	40486
gene44		40525	42465
gene45		42482	43567
gene46		43638	44243
gene47		44315	44521
gene48		44594	44797
gene49		44863	45069
gene50		45112	45942
gene51		45980	46912
gene52		46905	48341
gene53		48357	49178
gene54		49195	50055
gene55		50385	50678
gene56		50614	51417
gene57		51453	51974
gene58		52252	52413
gene59		52545	54890
gene60		55039	56493
gene61		56749	57144
gene62		57170	57619
gene63		57636	59135
gene64		59155	60108
gene65		60818	61954
gene66		62858	62968
gene67		62980	64092
gene68		64410	65015
gene69		65578	65937
gene70		65964	67271
gene71		67708	68994
gene72		69186	69572
gene73		69590	73090
gene74		73262	74644
gene75		74897	76543
gene76		77263	78213
gene77		78817	79800
gene78		79804	80736
gene79		80830	80925
gene80		80985	81248
gene81		81687	81959
gene82		81978	82202
gene83		82463	82747
gene84		82815	82997
gene85		83397	83792
gene86		83815	84171
gene87		84433	84573
gene88		84595	84735
gene89		84933	86831
gene90		86909	87436
gene91		87517	88629
gene92		88642	88971
gene93		88985	89512
gene94		89509	90321
gene95		90338	91159
gene96		91137	91781
gene97		91898	92068
gene98		92134	93099
gene99		93150	93560
gene100		93563	94411
gene101		94431	94802
gene102		94824	95210
gene103		95197	95610
gene104		95705	97507
gene105		97550	97720
gene106		97782	98102
gene107		98199	98534
gene108		98589	99554
gene109		99686	99829
gene110		100771	102480
gene111		103020	103169
gene112		103200	103382
gene113		103570	104049
gene114		104540	106234
gene115		106274	107122
gene116		107344	107997
gene117		108517	108930
gene118		108952	109089
gene119		109774	109887
gene120		109971	111899
gene121		112044	113165
gene122		113181	113408
gene123		113480	115273
gene124		115267	116775
gene125		116792	117505
gene126		117838	118467
gene127		118467	119102
gene128		119153	119731
gene129		119751	120341
gene130		120467	120850
gene131		120867	121505
gene132		121525	121638
gene133		121854	122174
gene134		122188	122403
gene135		122460	122885
gene136		122927	123322
gene137		123327	123587
gene138		123679	123942
gene139		124165	124584
gene140		124877	127540
gene141		127731	128375
gene142		128409	128609
gene143		128686	128973
gene144		129050	129469
gene145		129566	129859
gene146		130165	130350
gene147		130526	130666
gene148		130663	131757
gene149		132105	132500
gene150		132677	133003
gene151		133075	134160
gene152		134188	135261
gene153		135461	135865
gene154		136209	136634
gene155		136661	136942
gene156		136981	138741
gene157		138760	139119
gene158		139184	139588
gene159		139615	140670
gene160		140700	141047
gene161		141290	141508
gene162		141531	142025
gene163		142113	142493
gene164		142507	143616
gene165		143636	144358
gene166		144375	145649
gene167		146029	147294
gene168		147390	148583
gene169		148683	148976
gene170		148983	150206
gene171		150218	150511
gene172		150735	151190
gene173		151268	152170
gene174		152186	152326
gene175		152646	152777
gene176		152875	154401
gene177		154440	155441
gene178		155457	157436
gene179		157429	158079
gene180		158310	158582
gene181		158808	159011
gene182		159032	161428
gene183		161441	161752
gene184		162030	162983
gene185		163193	163744
gene186		163845	165137
gene187		165256	165375
gene188		165470	165655
gene189		165748	165879
gene190		165892	166497
gene191		166507	167340
gene192		167363	167458
gene193		167615	167941
gene194		167944	168108
gene195		168372	168638
gene196		168806	168985
gene197		169195	170199
gene198		170306	171001
gene199		171064	171201
gene200		171444	172274
gene201		172274	172915
gene202		173128	173367
gene203		174270	176081
gene204		176426	176524
gene205		176853	177179
gene206		177223	177852
gene207		178574	178675
gene208		178870	179643
gene209		179710	180369
gene210		180385	181131
gene211		181595	182338
gene212		182546	184210
gene213		184375	185058
gene214		185095	186462
gene215		186558	186698
gene216		186823	187032
gene217		187034	187174
gene218		187200	188324
gene219		188802	189050
gene220		189237	189479
gene221		189716	190015
gene222		190508	190720
gene223		190872	192086
gene224		192741	193121
gene225		193161	193610
gene227		194988	196712
gene228		196978	197133
gene229		197485	197739
gene230		198028	198540
gene231		198562	198912
gene232		199142	200185
gene233		200177	200278
gene234		200324	200650
gene235		201242	201520
gene236		201588	201932
gene237		202355	202675
gene238		202829	203416
gene239		204133	204891
gene240		204953	205651
gene241		205969	207234
