Assembly	CABOG_miseq_scf broken	CABOG_miseq_scf	CABOG_hiseq_scf broken	CABOG_hiseq_scf	MaSuRCA_miseq_scf broken	MaSuRCA_miseq_scf	MaSuRCA_hiseq_scf broken	MaSuRCA_hiseq_scf	SPAdes_miseq_scf broken	SPAdes_miseq_scf	SPAdes_hiseq_scf broken	SPAdes_hiseq_scf	Velvet_miseq_scf broken	Velvet_miseq_scf	Velvet_hiseq_scf broken	Velvet_hiseq_scf
# contigs (>= 200 bp)	286	285	519	183	182	180	179	132	784	784	129	129	178	173	264	142
# contigs (>= 1000 bp)	286	285	499	183	144	143	135	99	69	69	64	64	109	108	190	79
Total length (>= 200 bp)	3790980	3791000	3708859	3717805	3974638	3974678	4013483	4014423	4209915	4209915	3948176	3948176	3904607	3904657	3896060	3916708
Total length (>= 1000 bp)	3790980	3791000	3698786	3717805	3951385	3951885	3986296	3994223	3908651	3908651	3915866	3915866	3872867	3875057	3860441	3886781
# contigs	286	285	509	183	168	167	164	118	184	184	93	93	135	133	220	104
Total length	3790980	3791000	3705707	3717805	3968761	3969261	4007678	4008981	3983773	3983773	3935742	3935742	3891016	3892321	3880977	3903678
Largest contig	106586	106586	39047	184259	232643	232643	211069	555891	392814	392814	536022	536022	246346	246346	157783	411927
Reference length	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.92	47.92	47.94	47.93	47.44	47.44	47.51	47.51	47.34	47.34	47.51	47.51	47.69	47.69	47.63	47.63
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49	47.49
N50	24969	24969	10437	38698	65767	65767	93473	133199	258677	258677	343954	343954	105176	105176	41373	163386
NG50	22450	22450	9568	35387	65767	65767	93473	133199	258677	258677	258937	258937	105176	105176	40085	157209
N75	12543	12652	6201	19302	43921	43921	43374	77491	105135	105135	166780	166780	43442	43442	19470	75755
NG75	10823	10885	5114	17084	42523	42523	43374	77491	105135	105135	97170	97170	39408	39408	18535	71623
L50	47	47	101	30	18	18	14	8	6	6	5	5	12	12	29	8
LG50	52	52	117	34	18	18	14	8	6	6	6	6	12	12	31	9
L75	101	100	217	64	37	37	30	18	12	12	10	10	26	26	62	18
LG75	116	116	260	77	38	38	30	18	12	12	11	11	28	28	68	19
# misassemblies	8	9	8	10	9	11	8	13	4	4	8	8	5	6	8	10
Misassembled contigs length	30914	46637	39006	169129	140011	151551	228152	610408	533480	533480	613488	613488	28731	45660	69468	273985
# local misassemblies	6	6	7	38	6	6	6	20	3	3	6	6	3	6	6	123
# unaligned contigs	0 + 1 part	0 + 1 part	0 + 1 part	0 + 0 part	0 + 1 part	0 + 1 part	0 + 4 part	0 + 4 part	81 + 3 part	81 + 3 part	3 + 0 part	3 + 0 part	1 + 2 part	1 + 2 part	1 + 0 part	1 + 0 part
Unaligned contigs length	49	49	52	0	453	453	475	475	56002	56002	2685	2685	6297	6297	549	549
Genome fraction (%)	93.765	93.765	91.790	92.029	96.349	96.353	98.498	98.498	97.356	97.356	97.478	97.478	96.223	96.242	96.181	96.251
Duplication ratio	1.009	1.009	1.002	1.044	1.027	1.027	1.009	1.010	1.001	1.001	1.011	1.011	1.007	1.007	1.011	1.016
# N's per 100 kbp	0.00	0.53	0.00	189.33	0.00	1.01	0.00	23.45	0.00	0.00	0.00	0.00	0.00	1.28	0.00	515.80
# mismatches per 100 kbp	6.95	7.01	9.53	8.49	5.28	5.04	50.54	50.95	7.13	7.13	6.66	6.66	3.99	4.33	5.70	5.80
# indels per 100 kbp	3.70	3.70	4.65	65.49	3.37	3.37	5.61	16.71	3.46	3.46	3.87	3.87	2.63	2.65	3.38	5.28
# genes	3286 + 166 part	3286 + 166 part	2970 + 384 part	3185 + 170 part	3480 + 60 part	3480 + 60 part	3541 + 87 part	3557 + 71 part	3508 + 25 part	3508 + 25 part	3524 + 20 part	3524 + 20 part	3458 + 72 part	3459 + 71 part	3371 + 132 part	3379 + 130 part
Largest alignment	106586	106586	39047	184259	232643	232643	211069	555891	392814	392814	536022	536022	246346	246346	157783	409820
NA50	24969	24969	10437	38209	65252	65252	81529	132265	215247	215247	246236	246236	105176	105176	41373	163055
NGA50	22450	22450	9546	34659	63260	63260	81529	132265	215247	215247	246236	246236	105176	105176	39468	156829
NA75	12543	12543	6069	19085	43921	43921	43374	71696	105081	105081	106179	106179	43442	43442	19470	71376
NGA75	10092	10092	5039	16587	42523	42523	43374	70982	91956	91956	97170	97170	39408	39408	18535	59664
LA50	47	47	101	31	18	18	15	9	7	7	6	6	12	12	29	8
LGA50	52	52	118	35	19	19	15	9	7	7	6	6	12	12	31	9
LA75	101	101	218	65	37	37	31	19	13	13	11	11	26	26	62	18
LGA75	117	117	262	78	38	38	31	20	14	14	12	12	28	28	68	20
