ID or #		Start	End
============================
gene0		235	402
gene1		372	806
gene2		816	2210
gene3		2271	3896
gene4		3899	4156
gene5		4123	4479
gene6		4492	4629
gene7		4871	5608
gene8		5605	6276
gene9		6354	7100
gene10		7397	8815
gene11		8873	9973
gene12		9991	11082
gene13		11103	13520
gene14		13876	14367
gene15		14377	14493
gene16		14769	15206
gene17		15294	16550
gene18		16869	18935
gene19		18950	19867
gene20		20235	20837
gene21		20943	21200
gene22		21287	21535
gene23		21656	21856
gene24		22028	23008
gene25		23256	24788
gene26		24792	26633
gene27		26643	27602
gene28		27593	27877
gene29		27889	29535
gene30		30069	31592
gene31		31682	32566
gene32		32644	33246
gene33		33277	34263
gene34		34311	35735
gene62		59047	59123
gene63		59356	59736
gene64		59988	61925
gene65		61929	63251
gene66		63238	64014
gene67		64014	64214
gene68		64220	64990
gene69		64987	66099
gene70		66324	68117
gene71		68250	69233
gene72		69296	70498
gene73		70602	70886
gene74		70975	71436
gene75		71512	73818
gene76		73878	74663
gene77		74781	75170
gene78		75266	76153
gene79		76210	76635
gene80		76681	76776
gene81		76782	77327
gene82		77403	77726
gene83		77859	79055
gene84		79052	79963
gene85		80077	81618
gene86		81663	82445
gene87		82454	83077
gene88		83074	84708
gene89		84768	85016
gene90		85020	85421
gene91		85510	86262
gene92		86574	87575
gene93		87681	89045
gene146		141066	142466
gene147		142774	143415
gene148		143455	143826
gene149		143863	144972
gene150		145370	147205
gene151		147278	148885
gene152		149278	150075
gene153		150041	150499
gene172		168232	168399
gene173		168532	170247
gene174		170339	171895
gene175		171999	173027
gene176		173030	173968
gene177		174143	175090
gene178		175343	176941
gene179		177450	177758
gene180		177861	178424
gene181		179338	180405
gene182		180419	181729
gene183		181732	183486
gene184		183476	183946
gene185		183957	184388
gene186		184360	186471
gene187		186481	188169
gene188		188166	189380
gene189		189457	190821
gene190		190915	191754
gene214		220385	221341
gene215		221338	221928
gene218		225260	225934
gene219		226229	226465
gene220		226479	226646
gene221		226867	227355
gene222		227365	228174
gene223		228271	228765
gene224		228876	229913
gene225		229975	230754
gene226		230797	231870
gene227		231950	232705
gene228		232709	233668
gene229		233672	234601
gene230		234598	235341
gene231		235338	236921
gene232		236912	237292
gene233		237289	238608
gene234		238569	239357
gene235		239354	240403
gene236		240400	241440
gene237		241437	242636
gene238		242638	243204
gene239		243212	244984
gene240		245143	246087
gene241		246640	247926
gene242		247929	249320
gene243		249323	250444
gene244		250455	251558
gene245		251555	252946
gene246		252918	253712
gene247		253651	254466
gene248		254505	254747
gene249		254753	256168
gene250		256177	257301
gene251		257292	259769
gene252		259839	260405
gene298		314843	316336
gene299		316344	317660
gene300		317772	318098
gene301		318296	319555
gene302		319654	320646
gene303		320728	322569
gene304		322566	322835
gene305		322851	323561
gene350		363575	364684
gene351		364889	365353
gene352		365320	367065
gene353		367072	369033
gene354		369030	369977
gene355		370149	370412
gene356		370445	371734
gene357		371780	372967
gene358		372970	373950
gene359		373993	374199
gene360		374240	374467
gene361		374470	375453
gene362		375590	376369
gene363		376568	377290
gene371		383247	383435
gene372		383505	383981
gene373		384193	384561
gene374		384569	384871
gene375		384887	385114
gene376		385148	385597
gene377		385659	386468
gene378		386594	388000
gene379		387972	389099
gene380		389182	389601
gene381		389886	391538
gene382		391741	392919
gene383		393036	393497
gene384		393507	393974
gene385		394329	395312
gene386		395473	395685
gene387		395774	396439
gene388		396393	396563
gene389		396521	396790
gene390		396876	398720
gene391		398720	400453
gene392		400446	401207
gene472		486470	487645
gene473		487639	488241
gene474		488311	488742
gene475		488788	489078
gene476		489078	489635
gene477		489689	490507
gene478		490560	491270
gene479		491296	492333
gene480		492348	493454
gene518		534198	534722
gene519		535418	536698
gene520		536876	537103
gene521		537151	537519
gene522		537550	538284
gene523		538423	538599
gene524		538603	539046
