ID or #		Start	End
============================
gene4		6361	7323
gene5		7374	8312
gene6		8376	8939
gene9		10828	11718
gene10		11693	12475
gene11		12842	13567
gene20		29777	30286
gene27		36635	37144
gene29		38226	38678
gene30		38843	39430
gene32		41323	42099
gene33		42634	42837
gene34		43175	44008
gene37		46629	47489
gene39		48833	49198
gene40		49195	49602
gene44		52764	53939
gene48		57804	58550
gene54		64513	64938
gene56		66691	66981
gene57		67149	67832
gene58		69023	70225
gene59		70929	71270
gene60		71267	71668
gene73		92603	94096
gene76		95981	96346
gene77		96343	96783
gene82		102851	103540
