Assembly	GAGE-B_abyss_miseq_ctg	abyss_1.3.4	abyss_1.3.6
# contigs (>= 0 bp)	564	763	763
# contigs (>= 1000 bp)	149	155	155
Total length (>= 0 bp)	3959969	3977455	3977455
Total length (>= 1000 bp)	3872255	3871242	3871242
# contigs	196	203	203
Total length	3904784	3904884	3904884
Largest contig	178118	178122	178122
Reference length	4033464	4033464	4033464
GC (%)	47.56	47.56	47.56
Reference GC (%)	47.49	47.49	47.49
N50	60973	59545	59545
NG50	60473	59400	59400
N75	27970	25721	25721
NG75	24934	24049	24049
L50	21	21	21
LG50	22	22	22
L75	44	46	46
LG75	48	50	50
# misassemblies	2	2	2
Misassembled contigs length	70441	10790	10790
# local misassemblies	0	0	0
# unaligned contigs	1 + 0 part	1 + 0 part	1 + 0 part
Unaligned contigs length	619	621	621
Genome fraction (%)	96.699	96.697	96.697
Duplication ratio	1.001	1.001	1.001
# N's per 100 kbp	0.00	0.00	0.00
# mismatches per 100 kbp	3.31	2.95	2.95
# indels per 100 kbp	2.64	2.64	2.64
# genes	3413 + 55 part	3416 + 55 part	3416 + 55 part
Largest alignment	178118	178122	178122
NA50	60473	59545	59545
NGA50	60272	59400	59400
NA75	27970	25721	25721
NGA75	24934	24049	24049
LA50	21	21	21
LGA50	22	22	22
LA75	44	46	46
LGA75	48	50	50
