Assembly	abyss	hiseq	abyss2
# contigs (>= 200 bp)	284	206	402
# contigs (>= 1000 bp)	155	121	247
Total length (>= 200 bp)	3931285	4104510	3925338
Total length (>= 1000 bp)	3871242	4065299	3855718
# contigs	203	153	306
Total length	3904884	4086478	3895189
Largest contig	178122	280277	145939
Reference length	4033464	4033464	4033464
GC (%)	47.56	47.57	47.52
Reference GC (%)	47.49	47.49	47.49
N50	59545	94508	25689
NG50	59400	94508	25448
N75	25721	58395	15919
NG75	24049	59821	14801
L50	21	13	44
LG50	22	13	47
L75	46	27	93
LG75	50	26	100
# misassemblies	2	6	2
Misassembled contigs length	10790	376802	9653
# local misassemblies	0	17	0
# unaligned contigs	1 + 0 part	1 + 0 part	1 + 0 part
Unaligned contigs length	621	602	602
Genome fraction (%)	96.697	97.712	96.495
Duplication ratio	1.001	1.052	1.001
# N's per 100 kbp	0.00	100.94	0.00
# mismatches per 100 kbp	2.95	5.28	3.03
# indels per 100 kbp	2.64	5.71	2.83
# genes	3416 + 55 part	3498 + 59 part	3322 + 133 part
Largest alignment	178122	246076	145939
NA50	59545	92996	25689
NGA50	59400	92996	25448
NA75	25721	58395	15919
NGA75	24049	58395	14801
LA50	21	14	44
LGA50	22	14	47
LA75	46	28	93
LGA75	50	28	100
