Assembly	cabog	Velvet
# contigs (>= 0 bp)	241	209
# contigs (>= 1000 bp)	241	124
Total length (>= 0 bp)	3953298	3960394
Total length (>= 1000 bp)	3953298	3921645
# contigs	241	156
Total length	3953298	3944260
Largest contig	140691	246346
Reference length	4033464	4033464
GC (%)	47.52	47.52
Reference GC (%)	47.49	47.49
N50	33710	92036
NG50	32790	92036
N75	17245	43442
NG75	16374	39974
L50	34	15
LG50	35	15
L75	74	31
LG75	77	33
# misassemblies	17	14
Misassembled contigs length	128064	749414
# local misassemblies	7	2
# unaligned contigs	1 + 2 part	1 + 5 part
Unaligned contigs length	5249	6703
Genome fraction (%)	96.968	97.563
Duplication ratio	1.016	1.007
# N's per 100 kbp	0.00	0.00
# mismatches per 100 kbp	8.16	4.09
# indels per 100 kbp	3.63	2.80
# genes	3401 + 144 part	3491 + 79 part
Largest alignment	140691	246346
NA50	33710	67096
NGA50	32784	63574
NA75	17241	40333
NGA75	16374	39408
LA50	34	16
LGA50	35	17
LA75	74	35
LGA75	77	37
