All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     AH-H-Cabog-Contig  AH-H-Mira-Contig  AH-H-Msrca-Contig  AH-H-Sga-Contig  AH-H-Soap-Contig  AH-H-Spades-Contig  AH-H-Velvet-Contig
# contigs (>= 200 bp)        105                1049              32                 207              62                312                 65                
# contigs (>= 1000 bp)       81                 58                25                 132              36                38                  51                
Total length (>= 200 bp)     5008564            5236877           4915618            4887335          4894757           5008089             4889792           
Total length (>= 1000 bp)    4994206            4921055           4912397            4862122          4885465           4923079             4884654           
# contigs                    94                 118               28                 144              41                47                  53                
Total length                 5004541            4958807           4914380            4869935          4888841           4929385             4886581           
Largest contig               710684             290325            1124684            199964           455879            592124              526254            
Reference length             4744448            4744448           4744448            4744448          4744448           4744448             4744448           
GC (%)                       61.60              61.57             61.61              61.62            61.61             61.54               61.61             
Reference GC (%)             61.55              61.55             61.55              61.55            61.55             61.55               61.55             
N50                          278382             244066            828647             67129            243851            379681              180361            
NG50                         278382             246249            828647             68839            243851            379681              184389            
N75                          133236             137773            235264             38026            136903            129901              93861             
NG75                         156215             140806            245339             40005            165019            137987              104748            
L50                          6                  10                3                  25               8                 5                   9                 
LG50                         6                  9                 3                  24               8                 5                   8                 
L75                          12                 16                7                  50               15                12                  18                
LG75                         11                 15                6                  47               14                11                  17                
# misassemblies              2                  1                 2                  3                0                 1                   0                 
Misassembled contigs length  28456              19737             3104               131784           0                 579                 0                 
# local misassemblies        1                  3                 0                  9                0                 0                   0                 
# unaligned contigs          40 + 32 part       72 + 36 part      2 + 21 part        68 + 61 part     6 + 28 part       13 + 26 part        10 + 39 part      
Unaligned contigs length     4265289            4226670           4256366            4059484          4182196           4192431             4183402           
Genome fraction (%)          14.751             15.145            13.728             15.852           14.870            15.166              14.808            
Duplication ratio            1.056              1.021             1.010              1.078            1.002             1.024               1.001             
# N's per 100 kbp            0.00               4.21              0.00               0.00             0.00              1.28                0.00              
# mismatches per 100 kbp     3837.64            3566.60           3634.39            4131.45          3967.49           3611.13             3648.52           
# indels per 100 kbp         141.51             156.57            140.76             166.19           140.82            134.68              120.10            
# genes                      598 + 73 part      633 + 64 part     565 + 66 part      623 + 77 part    603 + 67 part     617 + 62 part       606 + 61 part     
Largest alignment            52397              52419             52419              52419            52419             52419               52419             
