All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     BC-M-Abyss  BC-M-Cabog  BC-M-Mira   BC-M-Msrca  BC-M-Sga    BC-M-Soap   BC-M-Spades  BC-M-Velvet
# contigs (>= 0 bp)          78          67          116         63          340         66          106          342        
# contigs (>= 1000 bp)       73          67          87          50          299         60          94           323        
Total length (>= 0 bp)       5187555     5215625     5245775     5237543     5168663     5144254     5288273      5116375    
Total length (>= 1000 bp)    5183576     5215625     5225718     5227750     5141341     5140399     5279949      5103583    
# contigs                    78          67          116         63          340         66          106          342        
Total length                 5187555     5215625     5245775     5237543     5168663     5144254     5288273      5116375    
Largest contig               430487      258489      311769      766822      106317      606530      346945       91844      
Reference length             5224283     5224283     5224283     5224283     5224283     5224283     5224283      5224283    
GC (%)                       35.36       35.47       35.47       35.45       35.38       35.36       35.38        35.36      
Reference GC (%)             35.58       35.58       35.58       35.58       35.58       35.58       35.58        35.58      
N50                          132589      155352      116480      246697      26226       246346      103691       25085      
NG50                         130570      155352      116480      337861      25876       246346      105260       24921      
N75                          74197       83639       56849       177353      16762       83026       61279        14780      
NG75                         70047       83639       56977       177353      16197       78614       64958        13814      
L50                          11          13          14          6           61          6           17           62         
LG50                         12          13          14          5           62          6           16           64         
L75                          24          24          30          12          122         14          33           127        
LG75                         25          24          29          12          125         15          32           133        
# misassemblies              1           3           7           8           1           0           4            2          
Misassembled contigs length  29730       316206      467784      274719      508         0           1999         66858      
# local misassemblies        23          6           11          11          1           20          12           9          
# unaligned contigs          0 + 1 part  0 + 1 part  0 + 3 part  0 + 1 part  0 + 1 part  0 + 0 part  0 + 1 part   0 + 3 part 
Unaligned contigs length     18046       8184        1366        13344       98          0           95400        266        
Genome fraction (%)          98.482      99.312      99.256      99.220      98.515      98.414      98.997       97.886     
Duplication ratio            1.009       1.005       1.017       1.011       1.004       1.003       1.007        1.003      
# N's per 100 kbp            101.42      0.00        2.92        0.00        0.00        0.00        4.16         0.00       
# mismatches per 100 kbp     6.59        4.91        4.88        9.34        0.82        9.20        13.03        6.12       
# indels per 100 kbp         8.11        2.39        2.20        3.63        2.00        2.98        2.92         3.17       
Largest alignment            430487      258489      311769      766822      106317      606357      346882       91844      
NA50                         132487      155352      102705      246697      26226       246346      103691       25085      
NGA50                        130570      155352      102705      337861      25876       246346      105260       24921      
NA75                         73848       81015       51551       177353      16762       83026       57817        14746      
NGA75                        70047       81015       52231       177353      16197       78614       60216        13814      
LA50                         11          13          14          6           61          6           17           62         
LGA50                        12          13          14          5           62          6           16           64         
LA75                         24          25          32          12          122         14          34           128        
LGA75                        25          25          31          12          125         15          33           133        
