ID or #		Start	End
============================
gene137		134395	134475
gene172		168232	168399
gene248		254505	254747
gene249		254753	256168
gene250		256177	257301
gene307		325745	325821
gene350		363575	364684
gene351		364889	365353
gene614		623870	624640
gene801		851190	851609
gene802		851557	852903
gene809		858794	859192
gene810		859267	860040
gene822		872764	872946
gene823		873242	874225
gene824		874251	874931
gene828		884725	885663
gene829		885773	886267
gene831		888846	889511
gene832		889496	889906
gene853		914726	915211
gene965		1032170	1033138
gene989		1059719	1060855
gene990		1061324	1062895
gene1036		1114895	1116202
gene1184		1275417	1276142
gene1261		1356926	1357231
gene1306		1413196	1413834
gene1309		1416672	1417223
gene1310		1417421	1418392
gene1311		1419022	1419729
gene1312		1419710	1420636
gene1372		1496398	1498089
gene1385		1516533	1517276
gene1562		1713805	1714494
gene1589		1750016	1751164
gene1603		1766888	1767661
gene1712		1901450	1902901
gene1713		1902898	1903632
gene1722		1921885	1922745
gene1798		1991934	1992608
gene1905		2117923	2119977
gene1906		2120030	2120575
gene1928		2143931	2144764
gene1967		2190929	2191567
gene1968		2191657	2192769
gene1969		2193194	2194639
gene1996		2216465	2217598
gene2008		2232809	2233252
gene2009		2233514	2233744
gene2010		2233741	2236017
gene2011		2236014	2236244
gene2076		2302349	2302636
gene2077		2302839	2303234
gene2384		2654268	2654501
gene2385		2654602	2655831
gene2419		2691637	2692614
gene2601		2863775	2864713
gene2602		2864958	2866409
gene2603		2866537	2867844
gene20		29214	30206
gene21		30484	31872
gene22		31968	32603
gene67		88624	88956
gene68		89148	90440
gene223		270200	271600
gene318		348195	348356
gene320		349076	349501
gene321		349629	349928
gene397		401320	401745
gene398		401923	402348
gene406		409543	410103
gene435		426408	427325
gene436		427482	427871
gene485		485540	485728
gene486		485878	486453
gene487		486637	487719
gene488		487773	488003
gene491		490884	492116
gene497		497678	498916
gene563		568826	569275
gene564		569315	569665
gene588		592946	594484
gene648		669750	670514
gene651		674741	675364
gene652		675367	677196
gene698		719693	720622
gene733		763686	764270
gene734		764273	765637
gene782		827514	827717
gene783		827934	829259
gene808		855370	855999
gene809		856032	856868
gene1002		1070997	1072220
