Assembly	GAGE-B broken	GAGE-B	SOAPdenovo2 broken	SOAPdenovo2	SOAPdenovo2_GP broken	SOAPdenovo2_GP
# contigs (>= 500 bp)	100	75	338	78	89	77
# contigs (>= 1000 bp)	81	58	280	58	69	58
Total length (>= 500 bp)	3932751	3935433	3891092	3967072	3932706	3933896
Total length (>= 1000 bp)	3919085	3923264	3850636	3952597	3918296	3920135
# contigs	100	75	338	78	89	77
Total length	3932751	3935433	3891092	3967072	3932706	3933896
Largest contig	425556	574497	69634	577829	425679	574502
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.52	47.52	47.52	47.51	47.51	47.51
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	135118	200529	23972	202254	148742	200760
NG50	125939	181109	22807	202254	148742	181223
N75	65780	102918	13646	104018	103044	103044
NG75	62739	102918	12268	104018	92230	103044
L50	10	6	53	6	9	6
LG50	11	7	56	6	9	7
L75	21	13	107	13	16	13
LG75	22	13	115	13	17	13
# misassemblies	15	15	3	8	5	6
Misassembled contigs length	1155029	1605854	19717	505899	421828	774094
# local misassemblies	50	76	17	383	69	81
# unaligned contigs	1 + 1 part	1 + 1 part	1 + 0 part	1 + 3 part	1 + 0 part	1 + 0 part
Unaligned contigs length	603	603	551	1307	551	551
Genome fraction (%)	97.295	97.305	96.389	97.200	97.517	97.517
Duplication ratio	1.009	1.009	1.001	1.012	1.011	1.011
# N's per 100 kbp	0.00	56.11	0.05	1287.95	1.35	31.60
# mismatches per 100 kbp	14.02	14.01	7.51	8.16	9.20	9.20
# indels per 100 kbp	5.58	5.58	2.91	2.99	5.05	5.05
# genes	3479 + 50 part	3480 + 50 part	3267 + 207 part	3299 + 215 part	3485 + 55 part	3485 + 55 part
Largest alignment	425699	574463	69634	573310	425919	574661
NA50	112904	181115	23972	180945	137191	181222
NGA50	112904	181115	22807	180945	137191	181222
NA75	62739	92025	13646	92058	81094	92227
NGA75	62256	92025	12268	92058	77400	81094
LA50	11	7	53	7	9	7
LGA50	11	7	56	7	9	7
LA75	22	14	107	14	17	14
LGA75	23	14	115	14	18	15
