All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     VC-H-Abyss-Contig  VC-H-Cabog-Contig  VC-H-Mira-Contig  VC-H-Msrca-Contig  VC-H-Sga-Contig  VC-H-Soap-Contig  VC-H-Spades-Contig  VC-H-Velvet-Contig
# contigs (>= 200 bp)        206                127                733               105                485              139               205                 261               
# contigs (>= 1000 bp)       121                127                115               80                 285              81                121                 183               
Total length (>= 200 bp)     4104510            3855600            4113459           3994617            3932738          3945991           3954925             3931494           
Total length (>= 1000 bp)    4065299            3855600            3932194           3980159            3844703          3919085           3912505             3894214           
# contigs                    153                127                152               91                 351              100               162                 213               
Total length                 4086478            3855600            3957629           3989162            3890290          3932751           3939988             3914915           
Largest contig               280277             256726             316666            555664             108154           425556            214711              157783            
Reference length             4033464            4033464            4033464           4033464            4033464          4033464           4033464             4033464           
GC (%)                       47.57              47.53              47.50             47.50              47.54            47.52             47.51               47.50             
Reference GC (%)             47.49              47.49              47.49             47.49              47.49            47.49             47.49               47.49             
N50                          94508              61249              92000             241604             23808            135118            83518               40877             
NG50                         94508              57883              92000             241604             23429            125939            77074               40085             
N75                          58395              29636              56477             85155              12382            65780             46841               22754             
NG75                         59821              26097              55736             79323              10978            62739             44636               20673             
L50                          13                 19                 14                6                  49               10                16                  30                
LG50                         13                 21                 14                6                  52               11                17                  31                
L75                          27                 43                 27                13                 103              21                32                  62                
LG75                         26                 48                 28                14                 113              22                34                  66                
# misassemblies              6                  20                 24                8                  3                15                4                   4                 
Misassembled contigs length  376802             385832             558799            708761             17831            1155029           75745               55189             
# local misassemblies        17                 11                 9                 5                  0                50                2                   8                 
# unaligned contigs          1 + 0 part         0 + 0 part         0 + 2 part        0 + 2 part         1 + 0 part       1 + 1 part        1 + 1 part          1 + 1 part        
Unaligned contigs length     602                0                  173               399                551              603               1261                576               
Genome fraction (%)          97.712             95.623             97.925            98.147             96.276           97.295            97.439              97.038            
Duplication ratio            1.052              1.007              1.016             1.013              1.002            1.009             1.007               1.011             
# N's per 100 kbp            100.94             0.00               5.00              0.00               0.00             0.00              0.00                0.00              
# mismatches per 100 kbp     5.28               17.01              10.38             68.61              3.17             14.02             5.19                4.47              
# indels per 100 kbp         5.71               7.34               3.85              6.90               2.60             5.58              2.93                4.85              
# genes                      3498 + 59 part     3374 + 123 part    3516 + 65 part    3573 + 46 part     3296 + 166 part  3479 + 50 part    3483 + 46 part      3386 + 132 part   
Largest alignment            246076             256726             211909            555664             108154           425699            214707              157783            
NA50                         92996              57813              89505             236373             23808            112904            83518               40877             
NGA50                        92996              53007              89505             236373             23429            112904            77065               39468             
NA75                         58395              28288              52881             76901              12382            62739             46841               22753             
NGA75                        58395              25832              51186             76901              10978            62256             44636               20673             
LA50                         14                 21                 15                6                  49               11                16                  30                
LGA50                        14                 22                 15                6                  52               11                17                  31                
LA75                         28                 46                 29                15                 103              22                32                  62                
LGA75                        28                 51                 30                15                 113              23                34                  66                
