All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     GAGE-B broken   GAGE-B          Spades_2_3_0 broken  Spades_2_3_0    Spades_2_5_0 broken  Spades_2_5_0  
# contigs (>= 500 bp)        106             106             109                  109             93                   93            
# contigs (>= 1000 bp)       95              95              72                   72              64                   64            
Total length (>= 500 bp)     4012066         4012066         4211504              4211504         3935742              3935742       
Total length (>= 1000 bp)    4004247         4004247         4186225              4186225         3915866              3915866       
# contigs                    106             106             109                  109             93                   93            
Total length                 4012066         4012066         4211504              4211504         3935742              3935742       
Largest contig               246251          246251          572859               572859          536022               536022        
Reference length             4033464         4033464         4033464              4033464         4033464              4033464       
GC (%)                       47.42           47.42           47.47                47.47           47.51                47.51         
Reference GC (%)             47.49           47.49           47.49                47.49           47.49                47.49         
N50                          98274           98274           225904               225904          343954               343954        
NG50                         98274           98274           225904               225904          258937               258937        
N75                          52916           52916           169794               169794          166780               166780        
NG75                         52916           52916           171917               171917          97170                97170         
L50                          13              13              6                    6               5                    5             
LG50                         13              13              6                    6               6                    6             
L75                          26              26              12                   12              10                   10            
LG75                         26              26              11                   11              11                   11            
# misassemblies              21              21              7                    7               8                    8             
Misassembled contigs length  390381          390381          620123               620123          613488               613488        
# local misassemblies        17              17              11                   11              6                    6             
# unaligned contigs          1 + 1 part      1 + 1 part      3 + 0 part           3 + 0 part      3 + 0 part           3 + 0 part    
Unaligned contigs length     1261            1261            2685                 2685            2685                 2685          
Genome fraction (%)          98.209          98.209          98.753               98.753          97.478               97.478        
Duplication ratio            1.021           1.021           1.062                1.062           1.011                1.011         
# N's per 100 kbp            0.00            0.00            9.00                 9.00            0.00                 0.00          
# mismatches per 100 kbp     8.13            9.26            7.18                 7.03            6.66                 6.66          
# indels per 100 kbp         7.83            8.00            3.72                 3.72            3.87                 3.87          
# genes                      3544 + 46 part  3544 + 46 part  3586 + 26 part       3586 + 26 part  3524 + 20 part       3524 + 20 part
Largest alignment            246251          246251          572859               572859          536022               536022        
NA50                         95858           95858           214751               214751          246236               246236        
NGA50                        94762           94762           214751               214751          246236               246236        
NA75                         52911           52911           129169               129169          106179               106179        
NGA75                        52911           52911           152627               152627          97170                97170         
LA50                         13              13              7                    7               6                    6             
LGA50                        14              14              7                    7               6                    6             
LA75                         27              27              13                   13              11                   11            
LGA75                        27              27              12                   12              12                   12            
