Assembly	RS-H-Abyss	RS-M-Abyss	RS-H-Cabog	RS-M-Cabog	RS-H-Mira	RS-M-Mira	RS-H-Msrca	RS-M-Msrca	RS-H-Sga	RS-M-Sga	RS-H-Soap	RS-M-Soap	RS-H-Spades	RS-M-Spades	RS-H-Velvet	RS-M-Velvet
# contigs (>= 0 bp)	1557	846	539	148	1581	885	130	63	12186	1032	7436	441	350	275	798	655
# contigs (>= 1000 bp)	464	339	531	145	446	528	89	53	511	726	613	302	134	100	513	307
Total length (>= 0 bp)	4633465	4567617	4216057	3952878	4725855	4662776	4489204	4247935	5704978	4621116	5220141	4554476	4670077	4618855	4525236	4537774
Total length (>= 1000 bp)	4501467	4474301	4212622	3952023	4355336	4462783	4468382	4242597	4164683	4486986	4360313	4489150	4607692	4584948	4422515	4467985
# contigs	520	382	534	146	640	731	106	58	577	830	720	354	163	105	586	332
Total length	4542138	4503182	4214745	3952525	4494266	4609809	4479673	4246144	4211737	4563433	4440636	4527360	4628908	4588344	4475470	4485514
Largest contig	66408	71578	41321	127844	110511	67456	358962	241348	75323	44874	45522	115051	291333	286217	59062	71713
Reference length	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524	3188524
GC (%)	68.72	68.77	68.94	69.06	68.89	68.75	68.87	68.90	68.70	68.79	68.88	68.83	68.83	68.81	68.76	68.77
Reference GC (%)	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01	69.01
N50	13523	22050	12421	41794	18568	15792	176783	142742	12872	9224	11128	33829	74486	118093	13807	24347
NG50	19178	27255	15593	48536	26189	22191	200886	170720	16853	12269	15123	42560	116634	131101	18718	33352
N75	8662	11736	7179	22363	9191	8236	102004	102371	6960	4941	5955	16889	47310	53389	7500	14804
NG75	12376	20225	10836	30292	16873	15190	142663	128010	11565	8739	9902	32618	74016	115061	12713	23747
L50	98	67	111	30	69	90	10	12	96	150	121	44	19	15	98	58
LG50	58	41	74	22	40	52	7	8	62	86	72	26	11	10	58	35
L75	205	137	222	64	154	191	18	21	204	321	259	88	38	30	207	115
LG75	108	74	135	42	77	96	11	14	119	163	137	48	20	16	110	64
# misassemblies	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	1
Misassembled contigs length	0	0	0	26700	0	0	0	20091	0	0	0	0	74486	0	0	70664
# local misassemblies	0	1	2	1	1	1	3	1	0	0	5	6	2	3	2	6
# unaligned contigs	180 + 8 part	140 + 1 part	147 + 18 part	27 + 7 part	346 + 17 part	395 + 19 part	36 + 16 part	12 + 10 part	222 + 8 part	241 + 14 part	290 + 9 part	149 + 10 part	62 + 11 part	38 + 14 part	206 + 4 part	132 + 2 part
Unaligned contigs length	1357428	1350450	1071626	876995	1298106	1414332	1282560	1039992	1210923	1379200	1291141	1354891	1390624	1389808	1341366	1338001
Genome fraction (%)	98.706	98.809	97.583	95.903	99.713	99.487	99.844	99.936	93.970	99.021	98.548	99.152	99.856	99.926	98.256	98.682
Duplication ratio	1.012	1.004	1.017	1.012	1.005	1.007	1.004	1.007	1.002	1.009	1.002	1.010	1.017	1.004	1.000	1.000
# N's per 100 kbp	0.18	0.00	0.00	5.31	5.36	2.58	0.00	0.00	0.00	0.00	0.00	0.00	14.93	10.16	0.00	0.00
# mismatches per 100 kbp	5.72	1.78	16.59	5.92	13.12	33.83	71.78	5.18	1.40	0.86	24.66	1.11	4.33	7.03	9.58	8.45
# indels per 100 kbp	0.48	0.41	1.09	0.49	0.98	4.73	1.16	0.47	0.17	0.63	7.73	0.95	0.69	0.54	0.54	0.83
# genes	2872 + 233 part	2938 + 175 part	2748 + 359 part	2928 + 109 part	2939 + 205 part	2888 + 255 part	3111 + 30 part	3115 + 29 part	2686 + 367 part	2688 + 453 part	2745 + 391 part	2967 + 170 part	3088 + 55 part	3106 + 38 part	2785 + 345 part	2955 + 174 part
Largest alignment	66408	71578	41321	127843	110511	67456	358962	241348	75323	39550	45511	115051	291332	286217	59056	71713
NA50	9239	13579	9631	28128	13691	10627	133887	113534	9041	5261	7420	24662	53406	89068	8932	18548
NGA50	14570	22413	12812	41176	22895	17344	196511	142742	13378	8742	11461	36571	87434	120555	13819	26047
NGA75	8910	11675	7439	20375	11821	9861	131520	102371	6836	4922	6551	21145	52685	59218	7605	15923
LA50	125	84	129	36	81	111	11	13	116	210	148	50	23	16	126	67
LGA50	66	48	82	25	43	59	7	9	69	108	81	29	12	10	69	38
LGA75	139	96	162	53	93	119	12	16	153	232	173	56	24	18	145	76
