Assembly	dataset_390.dat	dataset_391.dat	dataset_392.dat	dataset_393.dat
# contigs (>= 0 bp)	209	241	564	173
# contigs (>= 1000 bp)	124	241	149	142
Total length (>= 0 bp)	3960394	3953298	3959969	4034988
Total length (>= 1000 bp)	3921645	3953298	3872255	4014349
# contigs	156	241	196	163
Total length	3944260	3953298	3904784	4030761
Largest contig	246346	140691	178118	255146
Reference length	1072315	1072315	1072315	1072315
GC (%)	47.52	47.52	47.56	47.47
Reference GC (%)	46.91	46.91	46.91	46.91
N50	92036	33710	60973	76131
NG50	187929	78380	111096	177955
N75	43442	17245	27970	45736
NG75	180000	71059	105316	155187
L50	15	34	21	16
LG50	3	6	4	3
L75	31	74	44	33
LG75	4	9	7	4
# misassemblies	6	8	1	6
Misassembled contigs length	82242	22901	8436	19317
# local misassemblies	1	1	0	2
# unaligned contigs	58 + 21 part	121 + 30 part	99 + 0 part	58 + 27 part
Unaligned contigs length	2909936	2925596	2895073	2949668
Genome fraction (%)	95.677	94.203	93.926	97.030
Duplication ratio	1.009	1.021	1.003	1.041
# N's per 100 kbp	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	6.04	24.06	11.82	19.70
# indels per 100 kbp	5.15	5.35	4.67	5.29
# genes	900 + 37 part	857 + 54 part	885 + 19 part	927 + 35 part
Largest alignment	140621	110049	110288	105536
NGA50	47047	20733	45047	63983
NGA75	18945	8063	18876	34879
LGA50	8	14	8	7
LGA75	16	34	17	12
