reference chromosomes:
	gi|42779081|ref|NC_003909.8|_Bacillus_cereus_ATCC_10987__complete_genome (5224283 bp)
	gi|44004339|ref|NC_005707.1|_Bacillus_cereus_ATCC_10987_plasmid_pBc10987__complete_sequence (208369 bp)

total genome size: 5432652

gap min size: 50
partial gene/operon min size: 100

genes loaded: 6014


assembly                 | genome    | duplication | gaps      | genes     | partial   | operons   | partial   |
                         | fraction  | ratio       | number    |           | genes     |           | operons   |
================================================================================================================
BC-H-Abyss-Contig        | 0.79226499323%| 1.16293766409| 46        | 95        | 11        | -         | -         |
BC-H-Cabog-Contig        | 0.588128965375%| 1.24399862289| 40        | 59        | 14        | -         | -         |
BC-H-Mira-Contig         | 1.55539136319%| 1.07537367306| 93        | 119       | 77        | -         | -         |
BC-H-Msrca-Contig        | 0.896762759698%| 1.19816084404| 50        | 112       | 23        | -         | -         |
BC-H-Sga-Contig          | 0.488343446258%| 1.00765171504| 26        | 22        | 6         | -         | -         |
BC-H-Soap-Contig         | 0.656346108678%| 1.02552093558| 38        | 49        | 4         | -         | -         |
BC-H-Spades-Contig       | 1.04836459247%| 1.22871088949| 57        | 88        | 24        | -         | -         |
BC-H-Velvet-Contig       | 0.758874303011%| 1.02156353846| 34        | 46        | 7         | -         | -         |
