ID or #		Start	End
============================
gene0		235	402
gene1		372	806
gene2		816	2210
gene3		2271	3896
gene4		3899	4156
gene5		4123	4479
gene6		4492	4629
gene7		4871	5608
gene8		5605	6276
gene9		6354	7100
gene10		7397	8815
gene11		8873	9973
gene12		9991	11082
gene13		11103	13520
gene14		13876	14367
gene15		14377	14493
gene16		14769	15206
gene17		15294	16550
gene18		16869	18935
gene19		18950	19867
gene20		20235	20837
gene21		20943	21200
gene22		21287	21535
gene23		21656	21856
gene24		22028	23008
gene25		23256	24788
gene26		24792	26633
gene27		26643	27602
gene28		27593	27877
gene29		27889	29535
gene30		30069	31592
gene31		31682	32566
gene32		32644	33246
gene33		33277	34263
gene34		34311	35735
gene35		36152	36430
gene36		36527	36694
gene37		36928	37770
gene38		37848	38495
gene39		38534	39190
gene40		39103	40548
gene41		40560	41936
gene42		41998	43302
gene43		43334	44281
gene44		44299	44808
gene45		44900	46075
gene46		46075	47190
gene47		47193	47669
gene48		47679	48251
gene49		48324	49457
gene50		49461	49946
gene51		50104	50670
gene52		50689	51606
gene53		51668	52504
gene54		52501	52776
gene55		52757	53311
gene56		53497	53637
gene61		58941	59017
gene62		59047	59123
gene63		59356	59736
gene64		59988	61925
gene65		61929	63251
gene66		63238	64014
gene67		64014	64214
gene68		64220	64990
gene69		64987	66099
gene70		66324	68117
gene71		68250	69233
gene72		69296	70498
gene73		70602	70886
gene74		70975	71436
gene75		71512	73818
gene76		73878	74663
gene77		74781	75170
gene78		75266	76153
gene79		76210	76635
gene80		76681	76776
gene81		76782	77327
gene82		77403	77726
gene83		77859	79055
gene84		79052	79963
gene85		80077	81618
gene86		81663	82445
gene87		82454	83077
gene88		83074	84708
gene89		84768	85016
gene90		85020	85421
gene91		85510	86262
gene92		86574	87575
gene93		87681	89045
gene94		89116	89985
gene95		90013	90642
gene96		90962	93388
gene97		93464	94318
gene98		94319	94870
gene99		94893	94991
gene100		95062	95472
gene101		95592	97571
gene102		97946	98779
gene103		98786	99106
gene104		99867	100634
gene105		100811	101854
gene106		101958	102389
gene107		103098	105902
gene108		106649	107311
gene109		107409	108080
gene110		108252	108920
gene111		108920	109468
gene112		109475	109966
gene113		110051	111493
gene114		111557	112753
gene115		112750	113949
gene116		113933	114715
gene117		114761	115714
gene118		115891	116037
gene119		116053	118584
gene120		118690	119004
gene121		118981	119196
gene122		119229	120482
gene123		120494	121324
gene124		121338	122036
gene125		122005	122940
gene126		122943	123662
gene127		123772	126261
gene128		126294	126890
gene129		126887	128431
gene130		128715	129542
gene131		129657	130673
gene132		130748	131365
gene133		131385	132611
gene134		132791	133261
gene135		133431	133760
gene136		133965	134333
gene137		134395	134475
gene138		134836	135093
gene139		135210	135839
gene140		135888	136154
gene141		136151	136750
gene142		136954	138129
gene143		138151	138852
gene144		138842	139834
gene145		140004	140864
gene146		141066	142466
gene147		142774	143415
gene148		143455	143826
gene149		143863	144972
gene150		145370	147205
gene151		147278	148885
gene152		149278	150075
gene153		150041	150499
gene157		156041	156158
gene158		156206	156296
gene159		156407	157303
gene160		157441	158925
gene161		159052	159303
gene162		159419	162529
gene163		162541	163647
gene164		163666	164262
gene165		164408	166423
gene166		166490	166897
gene167		167187	167263
gene168		167299	167374
gene169		167436	167512
gene170		167583	167658
gene171		167720	167796
gene172		168232	168399
gene173		168532	170247
gene174		170339	171895
gene175		171999	173027
gene176		173030	173968
gene177		174143	175090
gene178		175343	176941
gene180		177861	178424
gene181		179338	180405
gene182		180419	181729
gene183		181732	183486
gene184		183476	183946
gene185		183957	184388
gene186		184360	186471
gene187		186481	188169
gene188		188166	189380
gene189		189457	190821
gene190		190915	191754
gene191		192034	194076
gene192		194214	196385
gene193		197130	197798
gene194		197873	198685
gene195		198833	200599
gene196		200761	201669
gene197		201830	203665
gene198		203658	203957
