ID or #		Start	End
============================
gene106		101958	102389
gene179		177450	177758
gene180		177861	178424
gene185		183957	184388
gene228		232709	233668
gene242		247929	249320
gene243		249323	250444
gene246		252918	253712
gene247		253651	254466
gene248		254505	254747
gene258		264254	265366
gene507		525118	525654
gene528		544362	545177
gene531		548780	550021
gene532		550187	550262
gene648		676958	677254
gene816		865250	865765
gene821		871283	872653
gene822		872764	872946
gene828		884725	885663
gene831		888846	889511
gene832		889496	889906
gene835		892495	892947
gene837		894412	894867
gene838		894855	895691
gene839		895707	896165
gene840		896155	897666
gene841		897641	898663
gene845		901494	903374
gene847		904166	904639
gene849		905559	906206
gene863		924224	924778
gene864		924747	925349
gene964		1031615	1031872
gene1072		1149395	1149979
gene1087		1169290	1169748
gene1088		1169871	1170281
gene1105		1187230	1187658
gene1129		1211976	1212206
gene1130		1212670	1212990
gene1175		1265708	1266106
gene1261		1356926	1357231
gene1290		1392727	1393605
gene1295		1399817	1400293
gene1307		1414155	1414982
gene1331		1447035	1447706
gene1341		1458335	1458583
gene1385		1516533	1517276
gene1416		1549277	1549636
gene1456		1595800	1596342
gene1461		1605686	1606402
gene1469		1617274	1618107
gene1475		1622869	1623291
gene1493		1643196	1643576
gene1494		1643985	1644146
gene1495		1644190	1644465
gene1501		1649994	1650335
gene1503		1651882	1652085
gene1537		1686965	1687282
gene1538		1687438	1688259
gene1539		1688261	1688497
gene1547		1698457	1698897
gene1553		1704617	1705906
gene1563		1714609	1715412
gene1582		1732238	1732786
gene1639		1812689	1813705
gene1665		1838997	1839683
gene1686		1870186	1870434
gene1713		1902898	1903632
gene1740		1938739	1939779
gene1741		1939914	1940273
gene1743		1940754	1941332
gene1744		1941351	1941671
gene1745		1941658	1942032
gene1746		1942842	1943303
gene1749		1946151	1947122
gene1756		1950739	1951379
gene1758		1952631	1952861
gene1797		1991447	1991902
gene1799		1992727	1993833
gene1888		2098271	2098462
gene1991		2212661	2213284
gene2275		2513867	2514100
gene2301		2549642	2550613
gene2336		2597151	2597654
gene147		184257	184469
gene175		214574	215725
gene178		218879	219757
gene179		219825	220262
gene191		233907	234173
gene199		246827	247132
gene234		282297	282677
gene235		282737	283510
gene251		302926	304149
gene252		304670	305200
gene253		305200	305871
gene254		305873	306223
gene259		309750	310712
gene266		315311	315940
gene274		321332	322036
gene295		333953	334219
gene296		334206	334451
gene317		347308	348015
gene318		348195	348356
gene328		353709	354644
gene335		358749	359786
gene390		396968	397897
gene402		405167	406015
gene404		407778	408392
gene405		408539	409396
gene485		485540	485728
gene508		508604	508987
gene530		532353	532634
gene551		554224	554592
gene603		612218	612559
gene651		674741	675364
gene714		737544	737837
gene735		765822	766112
gene742		772435	772764
gene782		827514	827717
gene787		832685	833065
gene788		833090	833485
gene938		994599	994742
