Assembly	GAGE-B	Msrca_183_k89	Msrca_183_k99	Msrca_210_k89	Msrca_210_k99
# contigs (>= 500 bp)	163	167	163	171	167
# contigs (>= 1000 bp)	142	153	142	148	143
Total length (>= 500 bp)	4030761	4010282	4030761	3970120	3969261
Total length (>= 1000 bp)	4014349	3999858	4014349	3953572	3951885
# contigs	163	167	163	171	167
Total length	4030761	4010282	4030761	3970120	3969261
Largest contig	255146	232613	255146	232643	232643
Reference length	4033464	4033464	4033464	4033464	4033464
GC (%)	47.47	47.47	47.47	47.44	47.44
Reference GC (%)	47.49	47.49	47.49	47.49	47.49
N50	76131	61317	76131	62007	65767
NG50	76131	61317	76131	61549	65767
N75	45736	43446	45736	37453	43921
NG75	45736	43446	45736	35688	42523
L50	16	20	16	20	18
LG50	16	20	16	21	18
L75	33	40	33	40	37
LG75	33	40	33	41	38
# misassemblies	19	20	19	13	11
Misassembled contigs length	216881	244726	216881	96509	151551
# local misassemblies	3	5	3	5	6
# unaligned contigs	0 + 3 part	0 + 5 part	0 + 3 part	0 + 3 part	0 + 1 part
Unaligned contigs length	811	892	811	599	453
Genome fraction (%)	97.670	96.864	97.670	96.147	96.353
Duplication ratio	1.023	1.027	1.023	1.029	1.027
# N's per 100 kbp	0.00	0.00	0.00	1.01	1.01
# mismatches per 100 kbp	6.27	6.30	6.27	5.03	5.04
# indels per 100 kbp	3.17	3.40	3.17	3.07	3.37
# genes	3534 + 66 part	3500 + 68 part	3534 + 66 part	3474 + 59 part	3480 + 60 part
Largest alignment	255146	232613	255146	232643	232643
NA50	76131	60468	76131	61330	65252
NGA50	76131	58460	76131	60667	63260
NA75	45141	40539	45141	37453	43921
NGA75	45141	40539	45141	35688	42523
LA50	16	20	16	20	18
LGA50	16	21	16	21	19
LA75	34	41	34	40	37
LGA75	34	41	34	41	38
