Assembly	GAGE-B broken	GAGE-B	Spades_2_3_0 broken	Spades_2_3_0	Spades_2_5_0 broken	Spades_2_5_0
# contigs (>= 500 bp)	145	145	147	147	184	184
# contigs (>= 1000 bp)	72	72	75	75	69	69
Total length (>= 500 bp)	4041279	4041279	4042074	4042074	3983773	3983773
Total length (>= 1000 bp)	3995331	3995331	3996618	3996618	3908651	3908651
# contigs	145	145	147	147	184	184
Total length	4041279	4041279	4042074	4042074	3983773	3983773
Largest contig	741022	741022	741022	741022	392814	392814
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.37	47.37	47.37	47.37	47.34	47.34
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	262160	262160	262160	262160	258677	258677
NG50	262160	262160	262160	262160	258677	258677
N75	136216	136216	136216	136216	105135	105135
NG75	136216	136216	136216	136216	105135	105135
L50	5	5	5	5	6	6
LG50	5	5	5	5	6	6
L75	11	11	11	11	12	12
LG75	11	11	11	11	12	12
# misassemblies	5	5	5	5	4	4
Misassembled contigs length	386647	386647	385887	385887	533480	533480
# local misassemblies	4	4	4	4	3	3
# unaligned contigs	57 + 3 part	57 + 3 part	57 + 3 part	57 + 3 part	81 + 3 part	81 + 3 part
Unaligned contigs length	46754	46754	46754	46754	56002	56002
Genome fraction (%)	98.648	98.648	98.752	98.752	97.356	97.356
Duplication ratio	1.004	1.004	1.004	1.004	1.001	1.001
# N's per 100 kbp	5.30	5.30	5.84	5.84	0.00	0.00
# mismatches per 100 kbp	4.88	4.90	4.87	4.90	7.13	7.13
# indels per 100 kbp	3.24	3.24	3.11	3.11	3.46	3.46
# genes	3599 + 27 part	3599 + 27 part	3598 + 28 part	3598 + 28 part	3508 + 25 part	3508 + 25 part
Largest alignment	741022	741022	741022	741022	392814	392814
NA50	262160	262160	262160	262160	215247	215247
NGA50	262160	262160	262160	262160	215247	215247
NA75	106531	106531	106531	106531	105081	105081
NGA75	106531	106531	106531	106531	91956	91956
LA50	5	5	5	5	7	7
LGA50	5	5	5	5	7	7
LA75	12	12	12	12	13	13
LGA75	12	12	12	12	14	14
