reference chromosomes:
	gi|15640032|ref|NC_002505.1|_Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_chromosome_I__complete_sequence (2961149 bp)
	gi|15600771|ref|NC_002506.1|_Vibrio_cholerae_O1_biovar_El_Tor_str._N16961_chromosome_II__complete_sequence (1072315 bp)

total genome size: 4033464

gap min size: 50
partial gene/operon min size: 100

genes loaded: 3693


assembly                 | genome    | duplication | gaps      | genes     | partial   | operons   | partial   |
                         | fraction  | ratio       | number    |           | genes     |           | operons   |
================================================================================================================
CABOG_miseq_scf_broken   | 7.63914094684%| 1.01082363479| 176       | 123       | 277       | -         | -         |
CABOG_miseq_scf          | 7.63914094684%| 1.01082363479| 176       | 123       | 277       | -         | -         |
CABOG_hiseq_scf_broken   | 95.3607370736%| 1.00635721066| 79        | 3346      | 120       | -         | -         |
CABOG_hiseq_scf          | 95.3208705966%| 1.02277089202| 79        | 3383      | 84        | -         | -         |
MaSuRCA_miseq_scf_broken | 97.6704886916%| 1.02348544385| 37        | 3534      | 66        | -         | -         |
MaSuRCA_miseq_scf        | 97.6704886916%| 1.02348544385| 37        | 3534      | 66        | -         | -         |
MaSuRCA_hiseq_scf_broken | 98.1205236987%| 1.00827484754| 38        | 3552      | 65        | -         | -         |
MaSuRCA_hiseq_scf        | 98.1521094523%| 1.01336143857| 36        | 3568      | 51        | -         | -         |
SOAPdenovo_miseq_scf_bro | 96.0806641636%| 1.00044769815| 153       | 3326      | 134       | -         | -         |
SOAPdenovo_miseq_scf     | 96.7741127725%| 1.01118962204| 162       | 3349      | 155       | -         | -         |
SOAPdenovo_hiseq_scf_bro | 96.389257472%| 1.0012081302| 135       | 3267      | 207       | -         | -         |
SOAPdenovo_hiseq_scf     | 97.2002477275%| 1.0123608067| 140       | 3299      | 215       | -         | -         |
SPAdes_miseq_scf_broken  | 98.7520404298%| 1.00350403  | 19        | 3598      | 28        | -         | -         |
SPAdes_miseq_scf         | 98.7520404298%| 1.00350403  | 19        | 3598      | 28        | -         | -         |
SPAdes_hiseq_scf_broken  | 98.752685037%| 1.06222807353| 29        | 3586      | 26        | -         | -         |
SPAdes_hiseq_scf         | 98.752685037%| 1.06222807353| 29        | 3586      | 26        | -         | -         |
Velvet_miseq_scf_broken  | 96.2232959064%| 1.00665579011| 80        | 3458      | 72        | -         | -         |
Velvet_miseq_scf         | 96.2421878564%| 1.00679436378| 80        | 3459      | 71        | -         | -         |
Velvet_hiseq_scf_broken  | 96.1809749635%| 1.01096476926| 103       | 3371      | 132       | -         | -         |
Velvet_hiseq_scf         | 96.2505429576%| 1.01605906501| 104       | 3379      | 130       | -         | -         |
