Assembly	BF-H-Abyss-Contig	BF-H-Cabog-Contig	BF-H-Mira-Contig	BF-H-Msrca-Contig	BF-H-Sga-Contig	BF-H-Soap-Contig	BF-H-Spades-Contig	BF-H-Velvet-Contig	BF-H-Abyss-Scaffold	BF-H-Cabog-Scaffold	BF-H-Msrca-Scaffold	BF-H-Sga-Scaffold	BF-H-Soap-Scaffold	BFC-H-Spades-Scaffold	BF-H-Velvet-Scaffold
# contigs (>= 200 bp)	158	137	401	119	494	246	146	213	141	129	114	372	229	141	194
# contigs (>= 1000 bp)	141	136	109	102	233	118	86	120	128	129	98	183	106	83	108
Total length (>= 200 bp)	7040097	5214141	5413276	5396385	5270722	5292186	5331476	5284077	7038535	5214301	5396485	5208074	5292203	5331384	5285727
Total length (>= 1000 bp)	7031322	5213908	5299150	5386876	5177435	5241412	5302376	5246405	7031657	5214301	5387568	5137766	5243326	5303605	5252089
# contigs	149	136	174	109	281	149	110	142	135	129	104	224	137	106	124
Total length	7036707	5213908	5340833	5392427	5209075	5262789	5319487	5261270	7036438	5214301	5392527	5165148	5264325	5319796	5263144
Largest contig	419237	363813	378585	391846	188622	384109	534462	286976	419237	365693	392871	188622	384109	534462	474682
Reference length	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121	5373121
GC (%)	43.43	43.41	43.47	43.45	43.45	43.47	43.47	43.46	43.43	43.41	43.45	43.42	43.47	43.47	43.46
Reference GC (%)	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42	43.42
N50	106769	95840	134263	158716	45047	125627	157732	125214	126082	95840	158716	51632	132255	157732	147512
NG50	146158	94207	134263	158716	41244	116105	157732	125214	148670	94207	158716	49960	130112	157732	147512
N75	56017	42294	84346	74628	26391	58562	86371	59460	58781	47426	74628	30518	60952	87246	70735
NG75	92833	41281	84346	74628	24099	56336	86371	59261	106769	42294	74628	28394	60898	87246	63670
L50	19	18	12	11	38	14	10	14	19	18	11	34	13	10	11
LG50	13	19	12	11	40	15	10	14	13	19	11	36	14	10	11
L75	42	38	24	23	76	30	22	29	38	37	23	66	28	21	23
LG75	25	41	24	23	81	32	22	30	23	40	23	71	29	21	25
# misassemblies	154	102	115	119	65	92	104	98	164	107	122	68	92	104	101
Misassembled contigs length	5508098	3570138	4218273	4167060	2145331	3785868	3997256	3745674	5640821	3608038	4229693	2361708	3855147	4051114	3819908
# local misassemblies	53	48	50	50	39	46	50	46	54	50	51	41	48	50	52
# unaligned contigs	34 + 28 part	24 + 25 part	88 + 27 part	19 + 17 part	75 + 52 part	59 + 21 part	46 + 18 part	63 + 18 part	32 + 22 part	24 + 22 part	16 + 17 part	55 + 42 part	55 + 18 part	45 + 18 part	55 + 16 part
Unaligned contigs length	683663	476251	518771	439656	679045	517502	485848	487386	634171	473772	438691	623746	519025	486366	481532
Genome fraction (%)	80.626	79.582	80.390	80.517	79.584	80.132	80.382	80.117	80.648	79.583	80.517	79.367	80.135	80.370	80.137
Duplication ratio	1.467	1.109	1.117	1.146	1.060	1.103	1.120	1.109	1.478	1.110	1.146	1.065	1.102	1.120	1.111
# N's per 100 kbp	3.40	0.00	2.45	0.00	0.00	0.00	8.25	0.00	8.37	3.07	1.85	6.29	0.32	8.25	28.56
# mismatches per 100 kbp	661.17	659.26	669.71	684.22	641.35	660.86	666.63	660.05	661.94	659.51	684.17	641.50	659.94	666.91	661.10
# indels per 100 kbp	37.13	63.80	31.48	29.50	26.27	28.93	32.51	31.13	37.94	64.90	29.36	30.35	29.04	34.42	31.26
# genes	3391 + 102 part	3301 + 156 part	3373 + 107 part	3377 + 105 part	3303 + 134 part	3360 + 111 part	3373 + 103 part	3363 + 106 part	3391 + 102 part	3303 + 154 part	3377 + 105 part	3308 + 120 part	3361 + 110 part	3374 + 102 part	3364 + 106 part
Largest alignment	186153	182457	188970	185930	133449	185821	185423	185610	186153	182457	185930	133449	185821	185423	185610
NA50	38481	33716	43533	42218	27630	42686	43492	42686	39610	33716	42218	30573	43184	44083	44083
NGA50	50798	30567	43533	42218	27083	41464	42951	41192	53546	30567	42218	29887	41464	43492	42686
NA75	12492	9866	13208	11177	7687	12745	14057	13480	12492	10147	11177	9744	13208	14057	14283
NGA75	30333	7076	13166	11607	6225	11178	13166	11607	30344	7108	11607	6721	11607	13166	12487
LA50	54	41	36	37	58	38	37	37	53	41	37	51	37	36	36
LGA50	35	44	36	37	61	39	38	39	35	44	37	55	39	37	38
LA75	132	107	88	93	140	92	87	89	130	106	93	122	91	86	87
LGA75	69	121	90	92	157	99	90	96	68	120	92	142	97	89	93
