Assembly	GAGE-B broken	GAGE-B	Velvet_1_2_08 broken	Velvet_1_2_08	Velvet_1_2_10 broken	Velvet_1_2_10
# contigs (>= 500 bp)	213	85	220	104	220	104
# contigs (>= 1000 bp)	183	65	190	79	190	79
Total length (>= 500 bp)	3914915	3940257	3880977	3903678	3880977	3903678
Total length (>= 1000 bp)	3894214	3927326	3860441	3886781	3860441	3886781
# contigs	213	85	220	104	220	104
Total length	3914915	3940257	3880977	3903678	3880977	3903678
Largest contig	157783	524347	157783	411927	157783	411927
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.50	47.50	47.63	47.63	47.63	47.63
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	40877	172545	41373	163386	41373	163386
NG50	40085	172545	40085	157209	40085	157209
N75	22754	92099	19470	75755	19470	75755
NG75	20673	82167	18535	71623	18535	71623
L50	30	7	29	8	29	8
LG50	31	7	31	9	31	9
L75	62	14	62	18	62	18
LG75	66	15	68	19	68	19
# misassemblies	4	10	8	10	8	10
Misassembled contigs length	55189	395034	69468	273985	69468	273985
# local misassemblies	8	129	6	123	6	123
# unaligned contigs	1 + 1 part	1 + 0 part	1 + 0 part	1 + 0 part	1 + 0 part	1 + 0 part
Unaligned contigs length	576	549	549	549	549	549
Genome fraction (%)	97.038	97.140	96.181	96.251	96.181	96.251
Duplication ratio	1.011	1.016	1.011	1.016	1.011	1.016
# N's per 100 kbp	0.00	547.10	0.00	515.80	0.00	515.80
# mismatches per 100 kbp	4.47	5.18	5.70	5.80	5.70	5.80
# indels per 100 kbp	4.85	9.44	3.38	5.28	3.38	5.28
# genes	3386 + 132 part	3400 + 128 part	3371 + 132 part	3379 + 130 part	3371 + 132 part	3379 + 130 part
Largest alignment	157783	521619	157783	409820	157783	409820
NA50	40877	171505	41373	163055	41373	163055
NGA50	39468	171505	39468	156829	39468	156829
NA75	22753	91938	19470	71376	19470	71376
NGA75	20673	80883	18535	59664	18535	59664
LA50	30	7	29	8	29	8
LGA50	31	7	31	9	31	9
LA75	62	14	62	18	62	18
LGA75	66	15	68	20	68	20
