Assembly	dataset_650.dat
# contigs (>= 0 bp)	249
# contigs (>= 1000 bp)	87
Total length (>= 0 bp)	4126440
Total length (>= 1000 bp)	4099616
# contigs	102
Total length	4109111
Largest contig	523887
Reference length	1072315
GC (%)	47.57
Reference GC (%)	46.91
N50	217596
NG50	512282
N75	80568
NG75	512282
L50	6
LG50	2
L75	15
LG75	2
# misassemblies	8
Misassembled contigs length	230278
# local misassemblies	34
# unaligned contigs	35 + 10 part
Unaligned contigs length	3014558
Genome fraction (%)	96.089
Duplication ratio	1.065
# N's per 100 kbp	424.33
# mismatches per 100 kbp	23.76
# indels per 100 kbp	11.44
Largest alignment	213447
NGA50	101594
NGA75	37785
LGA50	4
LGA75	8
