Assembly	1_GAGE-B	1_Velvet_1.2.08	1_Velvet_1.2.10	2_GAGE-B	2_Velvet_1.2.08	2_Velvet_1.2.10
# contigs (>= 1000 bp)	183	177	177	124	108	108
Total length (>= 1000 bp)	3894214	3870711	3870711	3921645	3872950	3872950
# contigs	213	205	205	156	135	135
Total length	3914915	3889783	3889783	3944260	3891789	3891789
Largest contig	157783	157831	157831	246346	246346	246346
Reference length	4033464	4033464	4033464	4033464	4033464	4033464
GC (%)	47.50	47.64	47.64	47.52	47.69	47.69
Reference GC (%)	47.49	47.49	47.49	47.49	47.49	47.49
N50	40877	46346	46346	92036	105176	105176
NG50	40085	41373	41373	92036	105176	105176
N75	22754	22927	22927	43442	43442	43442
NG75	20673	20721	20721	39974	39408	39408
L50	30	28	28	15	12	12
LG50	31	30	30	15	12	12
L75	62	59	59	31	26	26
LG75	66	63	63	33	28	28
# misassemblies	4	9	9	14	5	5
Misassembled contigs length	55189	127292	127292	749414	28731	28731
# local misassemblies	8	9	9	2	3	3
# unaligned contigs	1 + 1 part	1 + 0 part	1 + 0 part	1 + 5 part	1 + 2 part	1 + 2 part
Unaligned contigs length	576	549	549	6703	6297	6297
Genome fraction (%)	97.038	96.340	96.340	97.563	96.234	96.234
Duplication ratio	1.011	1.012	1.012	1.007	1.007	1.007
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00
# mismatches per 100 kbp	4.47	5.89	5.89	4.09	4.23	4.23
# indels per 100 kbp	4.85	3.14	3.14	2.80	2.63	2.63
# genes	3386 + 132 part	3392 + 121 part	3392 + 121 part	3491 + 79 part	3460 + 70 part	3460 + 70 part
Largest alignment	157783	157831	157831	246346	246346	246346
NA50	40877	42805	42805	67096	105176	105176
NGA50	39468	41373	41373	63574	105176	105176
NA75	22753	22638	22638	40333	43442	43442
NGA75	20673	19470	19470	39408	39408	39408
LA50	30	28	28	16	12	12
LGA50	31	30	30	17	12	12
LA75	62	59	59	35	26	26
LGA75	66	64	64	37	28	28
