ID or #		Start	End
============================
gene0		1134	3110
gene1		3330	3944
gene2		4154	4351
gene3		4445	4723
gene4		4811	5530
gene5		5645	6520
gene6		6624	8285
gene7		8288	8482
gene8		8563	8919
gene9		8986	11751
gene10		12271	14724
gene11		14810	16990
gene13		19781	20299
gene15		22511	23398
gene16		23395	26652
gene17		26653	27381
gene18		27484	27885
gene19		28058	29098
gene20		29214	30206
gene21		30484	31872
gene22		31968	32603
gene23		33035	35584
gene24		35606	35860
gene25		35950	36684
gene26		36685	37527
gene27		37648	39213
gene28		39311	39871
gene29		40280	42154
gene30		42214	43086
gene31		43274	44026
gene32		44080	45297
gene33		45638	46090
gene34		46104	46685
gene35		46682	47104
gene36		47303	48229
gene37		48768	49994
gene38		50073	50831
gene39		50963	51247
gene40		51480	54154
gene41		54930	56060
gene42		56060	56449
gene43		56584	58163
gene44		58144	59667
gene45		59786	61255
gene46		61320	62030
gene47		62337	63305
gene48		63295	64092
gene49		64102	65511
gene50		65520	66440
gene51		66526	66774
gene52		67304	68662
gene53		68875	70872
gene54		70872	73013
gene55		73023	75329
gene56		75326	76768
gene57		76765	77325
gene58		77459	79102
gene59		79473	80294
gene60		80372	81292
gene61		81292	82161
gene62		82190	82945
gene63		82992	84092
gene64		84089	84556
gene65		84847	86223
gene66		86658	88319
gene67		88624	88956
gene68		89148	90440
gene69		90558	92381
gene70		92604	93491
gene71		93581	94792
gene72		94834	95280
gene73		95459	96661
gene74		96762	97142
gene75		97216	97380
gene76		97546	98820
gene77		99076	99969
gene78		100199	100495
gene79		100666	101295
gene80		101796	102152
gene81		102421	103119
gene82		103162	104385
gene83		104398	105114
gene84		105513	106820
gene85		106851	107891
gene86		107928	108299
gene87		108299	109855
gene89		110871	112649
gene90		112691	114370
gene91		115142	115426
gene92		115410	116414
gene93		116846	117352
gene94		117393	118871
gene95		118874	119311
gene96		119317	121086
gene97		121050	122066
gene98		122069	123556
gene99		123559	124035
gene100		124042	125376
gene101		125379	126152
gene102		126178	128787
gene103		128790	130382
gene104		130352	131035
gene105		131045	132454
gene106		132470	136015
gene107		136063	137328
gene108		137379	137621
gene109		137581	140634
gene110		140631	140999
gene111		141147	141407
gene112		141691	142110
gene113		142137	143639
gene114		143636	144634
gene115		144693	145577
gene116		145716	146636
gene117		146647	147651
gene118		147777	148511
gene119		148508	149239
gene120		149379	150059
gene121		150112	151179
gene122		151333	152691
gene123		153117	153464
gene124		153872	155080
gene125		155195	157249
gene126		157539	158891
gene127		158957	159067
gene128		159145	160200
gene129		160350	162515
gene131		164096	167839
gene132		167987	168493
gene133		168622	169974
gene134		170049	170372
gene135		170372	170683
gene136		170643	171119
gene137		171116	172612
gene138		172609	172962
gene139		172962	175637
gene140		175784	175984
gene141		176056	176997
gene142		177193	178428
gene143		178507	179925
gene144		180706	180918
gene145		180988	181470
gene146		181879	184011
gene147		184257	184469
gene148		184758	185474
gene149		185635	187290
gene151		189226	190182
gene152		190169	190657
gene153		190654	191589
gene154		191593	192549
gene155		192834	194768
gene156		194825	195028
gene158		196603	197811
gene159		198062	199294
gene160		199466	200341
gene161		200338	201930
gene162		202121	203305
gene163		203449	203658
gene164		204017	204244
gene165		204632	205009
gene166		205244	205522
gene167		205609	206613
gene168		206613	207059
gene169		207097	208581
gene170		208570	209565
gene171		209748	211091
gene172		211093	211935
gene173		212001	212549
gene174		213207	214250
gene175		214574	215725
gene176		215849	217765
gene177		217758	218882
gene178		218879	219757
gene179		219825	220262
gene181		220767	222122
gene182		222312	223640
gene183		223891	224721
gene184		224824	225351
gene185		225302	225484
gene186		225591	227159
gene187		227217	229163
gene188		229338	230387
gene189		230465	232054
gene190		232449	233693
gene191		233907	234173
gene192		234164	235243
gene193		235364	236620
gene194		237590	239815
gene195		240114	241760
gene196		242108	243046
gene197		243056	243910
gene198		243986	246742
gene199		246827	247132
gene200		247686	248450
gene201		248766	249767
gene202		249820	250758
gene203		250748	251698
gene204		251701	252465
gene205		252511	253587
gene206		253614	255592
gene207		255650	255970
gene208		256240	257433
gene209		257514	257810
gene210		257928	258497
gene211		258742	260391
gene212		260372	261046
gene213		261049	261678
gene214		261638	262522
gene215		262534	263181
gene216		263187	264008
gene217		264014	264706
gene218		264715	265221
gene219		265319	267079
gene220		267445	268200
gene221		268327	269394
gene222		269494	270027
gene223		270200	271600
gene224		271933	272631
gene226		275510	276340
gene227		276337	277008
gene228		276984	278438
gene229		278541	279053
gene230		279248	279756
gene231		279866	280276
gene232		280382	280924
gene233		280935	282113
gene234		282297	282677
gene235		282737	283510
gene236		283612	284751
gene237		285034	286965
gene238		286981	288654
gene239		288819	289988
gene240		290166	290513
gene241		290608	291042
gene242		291259	291978
gene244		292882	295745
gene245		295889	296269
gene246		296306	297613
gene248		298868	300000
gene249		300467	301624
gene250		301670	302650
gene251		302926	304149
gene252		304670	305200
gene253		305200	305871
gene254		305873	306223
gene255		306492	308420
gene256		308586	308975
gene257		309079	309273
gene258		309315	309668
gene259		309750	310712
gene262		312716	313090
gene265		314717	315160
gene266		315311	315940
gene267		316096	316848
gene268		317150	317332
gene270		318210	318392
gene271		318746	318928
gene272		319123	319800
gene273		319962	321170
gene274		321332	322036
gene275		322167	322532
gene276		322686	323021
gene277		323022	323264
gene278		323508	323894
gene281		324552	325088
gene283		325890	326387
gene284		326384	326656
gene285		327418	327870
gene286		328018	328314
gene287		328280	328558
gene293		332490	332978
gene294		333106	333768
gene295		333953	334219
gene296		334206	334451
gene297		334535	335341
gene300		337188	337547
gene301		337820	338053
gene302		338321	338827
gene304		339528	339830
gene306		340545	340970
gene307		341170	341799
gene308		342012	342491
gene310		343243	343521
gene311		343518	343802
gene313		344577	345173
gene314		345564	345746
gene315		345946	346419
gene316		346568	347194
gene317		347308	348015
gene319		348713	348892
gene321		349629	349928
gene322		350396	350974
gene324		351148	351309
gene325		351512	352195
gene326		352409	352675
gene327		352830	353428
gene328		353709	354644
gene329		354862	355884
gene330		355817	356431
gene331		356492	357187
gene332		356492	356866
gene335		358749	359786
gene336		359966	360289
gene338		361243	361421
gene339		361598	361993
gene340		362137	362673
gene341		362970	363149
