ID or #		Start	End
============================
gene1		3166	3891
gene2		3888	4514
gene3		4578	4829
gene4		4882	5181
gene5		5227	5418
gene7		6475	6633
gene8		7210	7881
gene9		7944	8156
gene10		8156	8569
gene11		8777	9229
gene12		9162	9515
gene13		9512	10957
gene14		11008	11403
gene16		12450	12770
gene17		12853	13503
gene18		13510	14601
gene19		14820	14924
gene21		15885	16175
gene22		16517	17587
gene23		17595	18647
gene24		18722	19732
gene25		19807	20175
gene26		20168	21490
gene27		21526	22302
gene28		22311	24074
gene29		24137	24292
gene30		24336	25907
gene31		25976	26329
gene32		26326	26748
gene33		26791	26994
gene35		27411	27764
gene36		28133	28960
gene37		29003	29380
gene38		29380	29808
gene39		30220	31173
gene40		31245	31603
gene41		31798	32106
gene42		32103	32408
gene43		32568	34093
gene44		34613	35824
gene45		36007	36993
gene46		36993	38177
gene47		38392	38619
gene48		38609	39004
gene50		40681	41274
gene52		44315	44536
gene53		44599	45153
gene54		45153	46187
gene55		46184	46648
gene59		50015	50350
gene60		50382	51632
gene61		51803	52087
gene62		52084	53142
gene63		53155	53385
gene64		53382	53699
gene66		55011	56138
gene67		56603	57781
gene68		58191	59003
gene69		59003	60010
gene70		60054	61292
gene71		61699	61959
gene72		62194	62571
gene73		62573	63450
gene75		65768	65971
gene76		66762	67088
gene77		67217	67567
gene78		67634	67924
gene79		67924	68478
gene80		68475	69194
gene81		69194	70447
gene82		70444	70872
gene83		70869	73352
gene84		73349	73666
gene85		73644	74003
gene86		74000	74530
gene87		74506	75144
gene88		75141	76127
gene89		76088	76840
gene90		76837	78945
gene91		78947	79345
gene92		79338	80171
gene93		80179	80424
gene94		80435	81832
gene96		85997	86509
gene98		87068	91702
gene99		91887	92171
gene100		92137	92421
gene101		93276	94061
gene102		94061	94420
gene103		94486	95076
gene104		95208	95486
gene105		95591	96832
gene106		96829	97311
gene107		97292	98482
gene109		99219	99776
