ID or #		Start	End
============================
gene0		59	1421
gene2		2659	3468
gene7		7843	8856
gene9		10377	11432
gene10		11462	12331
gene11		12357	13256
gene14		16621	17685
gene16		19619	20317
gene18		21662	22612
gene20		24963	25613
gene21		25659	25962
gene22		26299	27303
gene23		27710	28645
gene24		28731	30200
gene25		30310	31311
gene26		31364	31924
gene28		33282	33677
gene31		37146	38165
gene32		38175	39173
gene35		41999	42733
gene40		47228	47929
gene41		48080	49168
gene45		52324	52887
gene46		53078	53413
gene49		57879	58898
gene50		59130	60320
gene51		60354	60761
gene53		62338	62826
gene58		70027	70296
gene60		71746	72012
gene65		76203	76379
gene66		76417	76713
gene68		77505	78827
gene71		81861	82652
gene72		82656	83402
gene73		83575	84510
gene77		87646	88659
gene81		90921	91721
gene82		91771	92514
gene89		98922	99152
gene95		103519	104244
gene98		106819	107676
gene100		108527	109372
gene103		111690	112628
