All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                   A.hydrophila[trimmed]  B.Cereus[trimmed]  B.fragilis[trimmed]  M.abscessus[trimmed]  R.sphaeroides[trimmed]  S.aureus[trimmed]  V.cholerae[trimmed]  X.axonopodis[trimmed]
# contigs (>= 0 bp)        82                     502                233                  88                    744                     71                 192                  242     
# contigs (>= 1000 bp)     31                     248                111                  64                    521                     49                 79                   124     
Total length (>= 0 bp)     4897852                4980964            5291365              5140507               4604278                 2829952            3923143              4916654 
Total length (>= 1000 bp)  4887066                4914427            5249701              5132628               4518693                 2823611            3886781              4879435 
# contigs                  33                     275                128                  70                    593                     52                 104                  145     
Total length               4888993                4934681            5261492              5136733               4570817                 2825625            3903678              4893233 
Largest contig             641252                 220476             378536               413816                56143                   336190             411927               312468  
GC (%)                     61.61                  35.49              43.46                64.11                 68.68                   32.73              47.63                65.12   
N50                        263280                 44341              135492               127943                13589                   165713             163386               94198   
N75                        189661                 20882              63670                80107                 7289                    92503              75755                44059   
L50                        6                      29                 12                   11                    98                      6                  8                    17      
L75                        11                     70                 26                   24                    212                     12                 18                   35      
# N's per 100 kbp          49.19                  33.36              20.70                409.46                3236.34                 13.13              515.80               73.08 
