ID or #		Start	End
============================
gene2		2659	3468
gene3		3642	4931
gene4		5076	5912
gene5		5912	6724
gene6		6757	7815
gene10		11462	12331
gene11		12357	13256
gene14		16621	17685
gene15		17973	19178
gene16		19619	20317
gene17		20487	21665
gene18		21662	22612
gene19		22787	24070
gene20		24963	25613
gene21		25659	25962
gene22		26299	27303
gene23		27710	28645
gene24		28731	30200
gene25		30310	31311
gene28		33282	33677
gene30		35085	36866
gene31		37146	38165
gene32		38175	39173
gene33		39276	40829
gene34		40884	41990
gene35		41999	42733
gene36		42730	43509
gene37		43470	44810
gene38		44807	46303
gene39		46305	47210
gene40		47228	47929
gene41		48080	49168
gene42		49168	50109
gene43		50145	51131
gene44		51181	52131
gene45		52324	52887
gene46		53078	53413
gene47		53501	56839
gene48		57256	57738
gene49		57879	58898
gene50		59130	60320
gene51		60354	60761
gene52		61158	62156
gene53		62338	62826
gene54		62823	65288
gene55		65294	66295
gene56		66566	68032
gene58		70027	70296
gene60		71746	72012
gene61		72060	72509
gene63		73815	75047
gene64		75214	76137
gene65		76203	76379
gene66		76417	76713
gene67		76849	77508
gene68		77505	78827
gene69		79002	81368
gene70		81383	81847
gene71		81861	82652
gene72		82656	83402
gene73		83575	84510
gene74		84520	85452
gene75		85515	86768
gene76		86765	87646
gene77		87646	88659
gene78		88656	89438
gene79		89425	90132
gene80		90155	90910
gene81		90921	91721
gene82		91771	92514
gene84		93669	94862
gene86		95633	96160
gene87		96320	97333
gene88		97426	98925
gene89		98922	99152
gene90		99155	99886
gene91		99891	100559
gene92		100620	101462
gene93		101528	102280
gene95		103519	104244
gene96		104225	105346
gene97		105405	106817
gene98		106819	107676
gene99		107673	108530
gene100		108527	109372
gene101		109369	110334
gene102		110334	111644
gene103		111690	112628
gene104		112757	113821
