ID or #		Start	End
============================
gene32		30765	30841
gene71		64526	64597
gene319		284395	284471
gene320		284475	284550
gene323		285007	285082
gene342		300582	300680
gene345		305319	305434
gene358		318527	318642
gene359		319555	320259
gene360		320384	321253
gene362		322892	322990
gene373		335446	335561
gene496		453084	454610
gene497		454625	455188
gene649		603558	603986
gene651		604864	604962
gene659		610140	610216
gene660		610220	610295
gene661		610305	610380
gene662		610399	610474
gene663		610485	610568
gene664		610576	610649
gene665		610669	610744
gene666		610808	610882
gene667		610888	610962
gene668		610977	611047
gene674		615179	615252
gene866		818008	818169
gene889		824722	824793
gene2840		2599600	2600259
gene3327		3015552	3017408
gene3328		3017467	3018051
gene4685		4248301	4248374
gene4825		4375345	4375818
gene4826		4376035	4376973
gene4827		4376993	4378300
gene4828		4378446	4379561
gene4829		4379982	4380443
gene5017		4539812	4541011
gene5018		4541415	4541528
gene5019		4541531	4543117
gene5138		4649094	4649168
gene5139		4649176	4649252
gene5142		4649433	4649508
gene5143		4649523	4649598
gene5144		4649611	4649686
gene5145		4649688	4649764
gene5146		4649792	4649884
gene5147		4649902	4649978
gene5148		4649983	4650059
gene5149		4650080	4650152
gene5150		4650168	4650241
gene5151		4650252	4650325
gene5152		4650329	4650417
gene5153		4650434	4650508
gene5154		4650538	4650618
gene5155		4650641	4650716
gene5156		4650726	4650801
gene5157		4650806	4650881
