All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     VC-M-Abyss-Contig  VC-M-Cabog-Contig  VC-M-Mira-Contig  VC-M-Msrca-Contig  VC-M-Sga-Contig  VC-M-Soap-Contig  VC-M-Spades-Contig  VC-M-Velvet-Contig
# contigs (>= 0 bp)          564                241                501               173                1901             312               1486                209               
# contigs (>= 1000 bp)       149                241                96                142                247              147               73                  124               
Total length (>= 0 bp)       3959969            3953298            4112140           4034988            4357240          3954533           4451154             3960394           
Total length (>= 1000 bp)    3872255            3953298            3971344           4014349            3875237          3895651           3990044             3921645           
# contigs                    196                241                154               163                326              186               146                 156               
Total length                 3904784            3953298            4011692           4030761            3931012          3924635           4035776             3944260           
Largest contig               178118             140691             450326            255146             105420           246179            741022              246346            
Reference length             4033464            4033464            4033464           4033464            4033464          4033464           4033464             4033464           
GC (%)                       47.56              47.52              47.48             47.47              47.53            47.56             47.37               47.52             
Reference GC (%)             47.49              47.49              47.49             47.49              47.49            47.49             47.49               47.49             
N50                          60973              33710              112926            76131              27573            71357             262160              92036             
NG50                         60473              32790              112926            76131              27303            71357             262160              92036             
N75                          27970              17245              59711             45736              15449            37218             136216              43442             
NG75                         24934              16374              56632             45736              14804            34893             136216              39974             
L50                          21                 34                 9                 16                 45               15                5                   15                
LG50                         22                 35                 9                 16                 47               15                5                   15                
L75                          44                 74                 20                33                 94               34                11                  31                
LG75                         48                 77                 21                33                 99               36                11                  33                
# misassemblies              2                  17                 49                19                 2                12                5                   14                
Misassembled contigs length  70441              128064             1093737           216881             18041            408395            386647              749414            
# local misassemblies        0                  7                  7                 3                  0                44                4                   2                 
# unaligned contigs          1 + 0 part         1 + 2 part         5 + 10 part       0 + 3 part         1 + 2 part       2 + 3 part        57 + 3 part         1 + 5 part        
Unaligned contigs length     619                5249               13951             811                6359             6480              41368               6703              
Genome fraction (%)          96.699             96.968             98.311            97.670             96.574           96.940            98.643              97.563            
Duplication ratio            1.001              1.016              1.016             1.023              1.008            1.003             1.004               1.007             
# N's per 100 kbp            0.00               0.00               1.74              0.00               0.00             0.00              5.18                0.00              
# mismatches per 100 kbp     3.31               8.16               8.88              6.27               2.88             8.16              4.88                4.09              
# indels per 100 kbp         2.64               3.63               4.06              3.17               2.75             4.37              3.24                2.80              
# genes                      3413 + 55 part     3401 + 144 part    3559 + 64 part    3534 + 66 part     3355 + 134 part  3442 + 85 part    3598 + 28 part      3491 + 79 part    
Largest alignment            178118             140691             450326            255146             105420           246179            741022              246346            
NA50                         60473              33710              108689            76131              27573            71357             262160              67096             
NGA50                        60272              32784              108689            76131              27303            68152             262160              63574             
NA75                         27970              17241              52144             45141              15449            37218             106531              40333             
NGA75                        24934              16374              52144             45141              14804            32753             106531              39408             
LA50                         21                 34                 9                 16                 45               15                5                   16                
LGA50                        22                 35                 9                 16                 47               16                5                   17                
LA75                         44                 74                 22                34                 94               34                12                  35                
LGA75                        48                 77                 22                34                 99               37                12                  37                
